Source,Site,Gender,Subtype,Case Count,Gene Count,Probe Count,FDR,Abs(FC) > 1.25,Abs(FC) > 2,Abs(FC) > 4,Abs(FC) > 1.25 (Prop),Abs(FC) > 2 (Prop),Abs(FC) > 4 (Prop),Abs(FC) > 1.25 (Pct),Abs(FC) > 2 (Pct),Abs(FC) > 4 (Pct)
TCGA,BrCa,Female,All Cases,1079,18950,18950,0.01,891,30,2,0.047,0.002,< 0.001,4.7%,0.2%,< 0.1%
TCGA,BrCa,Female,ER- HER2-,155,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,BrCa,Female,ER- HER2+,43,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,BrCa,Female,ER+ HER2-,538,18950,18950,0.01,660,58,7,0.035,0.003,< 0.001,3.5%,0.3%,< 0.1%
TCGA,BrCa,Female,ER+ HER2+,134,18950,18950,0.01,5,1,0,< 0.001,< 0.001,0,< 0.1%,< 0.1%,0%
TCGA,BrCa,Female,iClust 1,75,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,BrCa,Female,iClust 2,38,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,BrCa,Female,iClust 3,181,18950,18950,0.01,106,27,7,0.006,0.001,< 0.001,0.6%,0.1%,< 0.1%
TCGA,BrCa,Female,iClust 4,165,18950,18950,0.01,1,0,0,< 0.001,0,0,< 0.1%,0%,0%
TCGA,BrCa,Female,iClust 5,84,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,BrCa,Female,iClust 6,60,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,BrCa,Female,iClust 7,100,18950,18950,0.01,1,0,0,< 0.001,0,0,< 0.1%,0%,0%
TCGA,BrCa,Female,iClust 8,145,18950,18950,0.01,165,59,13,0.009,0.003,< 0.001,0.9%,0.3%,< 0.1%
TCGA,BrCa,Female,iClust 9,74,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,BrCa,Female,iClust 10,157,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
METABRIC,BrCa,Female,All Cases,1992,18950,48803,0.01,982,7,0,0.043,< 0.001,0,4.3%,< 0.1%,0%
METABRIC,BrCa,Female,ER- HER2-,335,18950,48803,0.01,15,4,1,< 0.001,< 0.001,< 0.001,< 0.1%,< 0.1%,< 0.1%
METABRIC,BrCa,Female,ER- HER2+,139,18950,48803,0.01,0,0,0,0,0,0,0%,0%,0%
METABRIC,BrCa,Female,ER+ HER2-,1408,18950,48803,0.01,583,17,0,0.025,< 0.001,0,2.5%,< 0.1%,0%
METABRIC,BrCa,Female,ER+ HER2+,110,18950,48803,0.01,0,0,0,0,0,0,0%,0%,0%
METABRIC,BrCa,Female,iClust 1,140,18950,48803,0.01,5,0,0,< 0.001,0,0,< 0.1%,0%,0%
METABRIC,BrCa,Female,iClust 2,72,18950,48803,0.01,0,0,0,0,0,0,0%,0%,0%
METABRIC,BrCa,Female,iClust 3,294,18950,48803,0.01,249,30,2,0.012,0.001,< 0.001,1.2%,0.1%,< 0.1%
METABRIC,BrCa,Female,iClust 4,344,18950,48803,0.01,278,30,2,0.012,0.001,< 0.001,1.2%,0.1%,< 0.1%
METABRIC,BrCa,Female,iClust 5,191,18950,48803,0.01,1,0,0,< 0.001,0,0,< 0.1%,0%,0%
METABRIC,BrCa,Female,iClust 6,86,18950,48803,0.01,0,0,0,0,0,0,0%,0%,0%
METABRIC,BrCa,Female,iClust 7,193,18950,48803,0.01,8,5,2,< 0.001,< 0.001,< 0.001,< 0.1%,< 0.1%,< 0.1%
METABRIC,BrCa,Female,iClust 8,300,18950,48803,0.01,269,37,4,0.012,0.002,< 0.001,1.2%,0.2%,< 0.1%
METABRIC,BrCa,Female,iClust 9,146,18950,48803,0.01,1,0,0,< 0.001,0,0,< 0.1%,0%,0%
METABRIC,BrCa,Female,iClust 10,226,18950,48803,0.01,0,0,0,0,0,0,0%,0%,0%
METABRIC,BrCa,Female,LumA,721,18950,48803,0.01,781,36,3,0.034,0.001,< 0.001,3.4%,0.1%,< 0.1%
METABRIC,BrCa,Female,LumB,492,18950,48803,0.01,369,17,0,0.016,< 0.001,0,1.6%,< 0.1%,0%
