genes,0.05,0.01,0.001,0.0001
bcl2_pp_v1n,TRUE,FALSE,FALSE,FALSE
birc5_pp_v1n,FALSE,FALSE,FALSE,FALSE
cd163_c_v1n,TRUE,TRUE,FALSE,FALSE
ck56_c2v1n,TRUE,TRUE,TRUE,TRUE
ck5_c2v1n,FALSE,FALSE,FALSE,FALSE
ckit_c_v1n,FALSE,FALSE,FALSE,FALSE
cyclind1_pp_v1n,FALSE,FALSE,FALSE,FALSE
ecad_pp_v1n,TRUE,FALSE,FALSE,FALSE
egfr_tsipp_v1n,TRUE,FALSE,FALSE,FALSE
ezh2_pp_v1n,TRUE,TRUE,FALSE,FALSE
foxa1_pp_v1n,TRUE,FALSE,FALSE,FALSE
h3k27me3_pp_v1n,FALSE,FALSE,FALSE,FALSE
inpp4b_c_v1.ppn,TRUE,TRUE,FALSE,FALSE
ki67_pp_v1n,TRUE,FALSE,FALSE,FALSE
nestin_tsipp_v1n,FALSE,FALSE,FALSE,FALSE
p16_qsipp_v1n,FALSE,FALSE,FALSE,FALSE
pr_c_v1n,TRUE,TRUE,FALSE,FALSE
tp53_pp_v1n,TRUE,TRUE,FALSE,FALSE
