"Breast_MB","Breast_TCGA and Breast_MB","Breast_TCGA","Lung","Thyroid","Lung and Breast_TCGA and Breast_MB","Lung and Breast_MB","Lung and Breast_TCGA","Thyroid and Breast_TCGA","Thyroid and Breast_MB","Thyroid and Breast_TCGA and Breast_MB","Prostate","Kidney","Thyroid and Lung","Kidney and Breast_TCGA and Breast_MB","Prostate and Breast_MB","Thyroid and Lung and Breast_MB","Prostate and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA","Lung and Thyroid and Breast_TCGA and Breast_MB","Prostate and Lung","Prostate and Breast_TCGA","Lung and Thyroid and Breast_TCGA","Kidney and Breast_MB","Lung and Prostate and Breast_TCGA and Breast_MB"
"AACS","A2ML1","AATK","ABHD11","ABI2","A2M","ACSL5","ADPRH","ALDH1B1","ABCA1","ACADSB","ACOT13","C3ORF17","ATP13A4","ANTXR1","CTHRC1","CHORDC1","HMGA1","FNDC1","RANBP17","HIST1H2BJ","ALDH9A1","HMGB2","TRIM5","PODN","C9ORF40"
"AARS","AADAT","ABCA10","ABHD13","ACAD8","ABCA6","ALCAM","AKAP13","ATF7IP2","ADGRE5","ADAMTS9","ACSL3","CD22","CASP10","CCNH","PEX13","EIF4E3","KCNS1","NEFH","RFPL1S","RAB29","","","","",""
"AARSD1","ABCA3","ABCA5","ACAP3","AFG3L2","ABI3BP","ALYREF","ARHGAP24","ATP11A","ANGPT1","ADGRG5","ADAP2","GALNT16","CLEC9A","DIO2","STK39","ITPR2","MCM5","ZNF518B","","","","","","",""
"ABAT","ABCA8","ABCA9","ACKR4","AHR","ACTR3B","ANKRD13D","ARHGAP31","B3GNT7","ANO10","ADGRL2","ARFGAP3","GSK3B","EDA2R","PALLD","","","","","","","","","","",""
"ABCA2","ABCB1","ABCC10","ACSM3","AIMP2","APH1B","APOBEC3G","ARHGDIB","BACE1","APOC1","AGR2","CCL3","MSL2","GNAQ","WFDC1","","","","","","","","","","",""
"ABCB9","ABCC11","ABCC6","ADCK5","AMIGO2","AUNIP","ARHGAP25","ARHGEF39","C15ORF41","APOE","AKNA","CPNE4","MYO1D","RITA1","","","","","","","","","","","",""
"ABCC5","ABCC4","ABHD6","ADH1A","APLP2","AURKB","ARHGAP39","B4GALT2","C3ORF18","ATP6V0E2","ALDOA","ELMO2","NDUFAF2","RMDN2","","","","","","","","","","","",""
"ABCC8","ABCG1","ACADS","ADH1B","APOA1BP","BCL11B","B4GALNT4","BTLA","C4ORF19","BDH1","ANXA1","FCGR1A","PASK","SERPINB8","","","","","","","","","","","",""
"ABCD3","ABHD12","ACBD4","ADH5","APOL6","BIRC5","BANK1","BTN3A3","CD200","BIRC2","ASB13","GATAD2A","ZC3H4","SNX25","","","","","","","","","","","",""
"ABHD17C","ABHD14A","ACTR3C","ADH6","AQP5","BTD","BCL2L12","C7ORF31","CD8B","BMPR1B","BLVRB","HLX","ZKSCAN4","TMEM154","","","","","","","","","","","",""
"ABRACL","ABHD14B","ADAL","ADRA2A","ARTN","C19ORF48","BRIX1","CA3","CHST2","CCL28","C8ORF4","KIAA1841","ZNF610","TMEM215","","","","","","","","","","","",""
"ACACA","ABHD3","ADAM12","ADRB2","ASGR1","C3ORF58","C4A","CABLES2","CNTRL","CLSTN2","CD47","MNX1","ZNF780A","TRANK1","","","","","","","","","","","",""
"ACACB","ABLIM3","ADAM17","ADRBK2","ATP6V0E2-AS1","CCL19","CASP1","CAMK2D","DGKD","DNAJA1","CDK1","MYCL","","","","","","","","","","","","","",""
"ACAP1","ABTB2","ADAM6","AGAP3","BCKDHA","CCPG1","CBS","CARD6","DPP4","DNALI1","CHIC2","POC1A","","","","","","","","","","","","","",""
"ACAT2","ACAA1","ADAMTS12","AGK","BPHL","CCR7","CBX7","CASKIN1","FAM101A","EMILIN2","CILP","RFPL2","","","","","","","","","","","","","",""
"ACE2","ACAA2","ADAMTS15","AHRR","C11ORF70","CDC20","CD59","CCDC138","FAM81A","ENO2","COG2","SLC10A5","","","","","","","","","","","","","",""
"ACKR1","ACADVL","ADAMTS2","AKAP7","C11ORF95","CDCA3","CHST4","CCDC150","FAS","EPN3","CYB5R1","SLC15A1","","","","","","","","","","","","","",""
"ACLY","ACBD7","ADAMTS3","ALDOB","C1QL3","CDCA5","CKS2","CCR6","FLYWCH1","EPSTI1","ENTPD1","SNX8","","","","","","","","","","","","","",""
"ACMSD","ACOT9","ADAMTS4","ALKBH4","C6ORF136","CDCA8","CNFN","CD28","FOLH1","FCRLB","ERRFI1","TDP2","","","","","","","","","","","","","",""
"ACOT4","ACOX2","ADAMTS6","ANK3","CA5B","CDT1","COASY","CD40LG","IL1RAP","GAA","ETS1","VSIG10L","","","","","","","","","","","","","",""
"ACOT7","ACSL4","ADARB1","ANKRD16","CAB39","CELF2","CPQ","CD5","INHBB","GPI","FARP1","","","","","","","","","","","","","","",""
"ACP1","ACTA2","ADCY7","ANKRD22","CACNB1","CENPA","CPVL","CDC25C","KIF18A","HIST1H2AC","FOXN2","","","","","","","","","","","","","","",""
"ACSF2","ACTG2","ADGRA3","ANKRD39","CAND2","CEP55","CREBRF","CEBPA","KLF5","HIST2H2BE","FUOM","","","","","","","","","","","","","","",""
"ACSS1","ACTN1","ADGRB1","ANKRD44","CASP8","CHEK1","CST2","CHRDL1","LGR4","HRASLS","GBP1","","","","","","","","","","","","","","",""
"ACTA1","ACVR2A","ADGRL3","ANO5","CASP9","COL14A1","CX3CR1","CLN5","LRP4","IFI44","GOT2","","","","","","","","","","","","","","",""
"ACTL6A","ADA","ADRB1","ANXA4","CC2D2B","COL6A6","CYFIP2","CYP7B1","MGA","IL20RA","HENMT1","","","","","","","","","","","","","","",""
"ACTR3","ADAM19","ADSSL1","AOAH","CCDC113","CTDSPL","DAB2","DNMT3A","MRC2","LASP1","IGF1","","","","","","","","","","","","","","",""
"ACVR1","ADAMTS1","AFAP1","AOC3","CCDC148","CYP4X1","DLL3","DNMT3B","MSL3P1","LRRC15","KLF6","","","","","","","","","","","","","","",""
"ACVR1B","ADAMTS5","AFF2","AP5Z1","CCDC51","DBNDD1","DOCK2","DSCC1","NAV2","MALL","KLRB1","","","","","","","","","","","","","","",""
"ACY1","ADAMTS8","AGFG2","APC","CCNO","EGR2","DOCK8","DTX4","PAQR8","MPZL2","LAMP3","","","","","","","","","","","","","","",""
"ADAMDEC1","ADCY3","AGO4","APOBEC3C","CCSER1","ENTPD3","E4F1","EME1","PCNXL2","MRPL15","LMO4","","","","","","","","","","","","","","",""
"ADAMTSL2","ADCY6","AK8","APOL3","CDIP1","EPB41L2","ECE2","FAM114A2","PHYH","NIPAL3","MAP4K4","","","","","","","","","","","","","","",""
"ADAP1","ADD3","AKAP12","ARF5","CERCAM","EZH2","EEF1A2","FAM72B","PLEKHG2","NMB","MEIS2","","","","","","","","","","","","","","",""
"ADCK4","ADGRA2","AKAP2","ARFGAP1","CHCHD6","FAM134B","EVI2B","FANCA","POMC","NME4","MEX3C","","","","","","","","","","","","","","",""
"ADCY1","ADGRG6","AKAP6","ARHGEF28","CHKB","FAM189B","FAM136A","FANCG","PPP4R1L","NMNAT3","NCK2","","","","","","","","","","","","","","",""
"ADCY9","ADH1C","AKT3","ARHGEF6","CLDN1","FAM64A","FAM195A","FAT4","RNF217","NOL3","NCOA7","","","","","","","","","","","","","","",""
"ADGRB2","ADIRF","ALAS1","ARID4A","CLK1","FAM83D","FAM96B","FCHO2","SDC2","PCOLCE2","NRIP3","","","","","","","","","","","","","","",""
"ADGRG1","ADORA1","ALKBH7","ARRDC1-AS1","CLUH","FCMR","FGL2","FLT3","SDC3","PDCD4","ODC1","","","","","","","","","","","","","","",""
"ADGRL1","ADORA2B","ALX4","ARRDC4","COPZ2","FEM1C","FLAD1","FRY","SERPINB9","PLIN2","OSBPL6","","","","","","","","","","","","","","",""
"ADIPOR1","ADTRP","AMOTL1","ATAD3A","CREB3L1","FMO2","FYB","GNG2","SGCB","PLPP5","PELI1","","","","","","","","","","","","","","",""
"ADIPOR2","AGAP1","ANKH","ATAD3B","CUBN","FMO5","GALC","GPC2","SNTA1","PPM1H","PGBD5","","","","","","","","","","","","","","",""
"ADM","AGPAT4","ANKRD13B","ATG4D","CYP26A1","FOXN3","GALNT10","HAUS8","SPEF1","PRR15L","PPP1R15A","","","","","","","","","","","","","","",""
"ADPRHL1","AGR3","ANKRD42","AURKAIP1","CYSLTR2","FOXO1","GIMAP4","HIST1H2AM","STK17A","RINL","PRDM1","","","","","","","","","","","","","","",""
"ADSL","AGTPBP1","ANKRD45","B2M","DAB2IP","FRZB","GIMAP8","HIST1H2BH","SULT1C2","RRAGD","PVRL3","","","","","","","","","","","","","","",""
"AES","AIF1L","ANKRD50","B3GAT3","DACT3","FZD7","GZMK","HIST1H3D","TET3","SERP2","RBM38","","","","","","","","","","","","","","",""
"AFF3","AIG1","ANKRD53","B3GNT4","DDIT4L","GAL","H2AFJ","HLF","TIPARP","SLC8A2","RBMS1","","","","","","","","","","","","","","",""
"AFMID","AK4","ANKS6","BANF1","DPP10","GAS7","HDHD2","HPDL","TMEM255A","SORCS1","ST3GAL1","","","","","","","","","","","","","","",""
"AFP","AKR1B1","ANO1","BANP","DUS4L","GPSM2","HES4","IL16","TMEM63C","SPATA18","TIA1","","","","","","","","","","","","","","",""
"AFTPH","ALDH1A2","ANP32E","BCL3","DUSP6","HIST1H2AE","HLA-B","ITGA2","UACA","SPR","TP53INP1","","","","","","","","","","","","","","",""
"AGGF1","ALDH1A3","AP1AR","BLNK","EFHD2","HIST3H2A","HLA-E","JAZF1","VSTM4","SQLE","TSPYL5","","","","","","","","","","","","","","",""
"AGT","ALDH1L2","APBA1","BLOC1S4","EPS8","HLA-DOB","HMBS","KANSL1L","YPEL4","SSC5D","VIM","","","","","","","","","","","","","","",""
"AGTR1","ALDH3A2","APBA2","BMPR2","ERCC2","HSD17B11","IL37","KIF18B","ZFAND5","SYCP2","WT1","","","","","","","","","","","","","","",""
"AHCY","AMDHD2","APLF","BOLA2","EYA4","HSD17B2","INMT","KLRG1","ZFHX4","TATDN3","","","","","","","","","","","","","","","",""
"AHCYL1","AMER1","APOBR","BRAT1","FAM111A","IFRD1","INO80E","LINC01140","ZKSCAN7","TIMP4","","","","","","","","","","","","","","","",""
"AHI1","AMH","APOF","BRMS1","FAM186B","IQGAP2","IRF8","MAGIX","ZNF300P1","ZFP36L1","","","","","","","","","","","","","","","",""
"AHNAK","AMMECR1","APOL4","BRSK1","FH","ITGA6","KCNK12","METTL7B","","","","","","","","","","","","","","","","","",""
"AHSA1","AMPD1","APOLD1","BTK","FIBIN","ITM2A","KIFC2","MORF4L2","","","","","","","","","","","","","","","","","",""
"AHSA2","AMPH","AQP6","C11ORF84","FLRT3","JADE2","LAMP5","MTBP","","","","","","","","","","","","","","","","","",""
"AIF1","AMY1A","ARAF","C14ORF105","FN3K","KIF20A","LCP1","MTF2","","","","","","","","","","","","","","","","","",""
