"","Hugo_Symbol","Entrez_Gene_Id","LE60_slope","GT60_slope","AllAges_slope","LE60_pval","GT60_pval","AllAges_pval","AgeDependentp","LE60_BHadj_pval","GT60_BHadj_pval","AllAges_BHadj_pval","BHadj_and_AgeDependentp","BHadj_signifp","LE60_log2FC","GT60_log2FC","AllAges_log2FC","Best_log2FC","Best_BHadj_pval"
"2","HMGB1P1",10357,-0.00151896286023558,-0.00238350716081892,-0.00529331285314314,0.594620302256894,0.416339166916889,8.76797932173845e-06,0,0.927599872269831,0.718824326626718,0.000128176819312138,TRUE,TRUE,-0.0531637001082452,-0.0715052148245676,-0.344065335454304,-0.344065335454304,0.000128176819312138
"19","EFCAB12",90288,0.0110897380024636,0.00626986464523815,0.0109395554410223,0.0558418750807993,0.31700382384756,9.20329629027726e-06,0,0.507717343037367,0.646761220722031,0.000132642994558813,TRUE,TRUE,0.388140830086227,0.188095939357144,0.71107110366645,0.71107110366645,0.000132642994558813
"20","A1BG",1,0.00531635281607684,0.0067424117338869,0.00695382445623671,0.324748010800074,0.267431683844751,0.00290055564270239,0,0.814028802794517,0.611101380411424,0.0134114605588029,TRUE,TRUE,0.186072348562689,0.202272352016607,0.451998589655386,0.451998589655386,0.0134114605588029
"24","A2ML1",144568,-0.00215243740663347,-0.0225664647328322,-0.0158931845649334,0.858537162449698,0.0588005570774133,0.00129505390900252,0,0.978326661420543,0.336031141280714,0.00702788548547118,TRUE,TRUE,-0.0753353092321715,-0.676993941984966,-1.03305699672067,-1.03305699672067,0.00702788548547118
"25","A2M",2,-0.00657103413796421,-0.0140900457629658,-0.0108171393383808,0.244956825562586,0.00951050391385022,2.30670284852173e-06,0,0.759909567483319,0.169900496929508,4.43064719128183e-05,TRUE,TRUE,-0.229986194828747,-0.422701372888973,-0.703114056994754,-0.703114056994754,4.43064719128183e-05
"36","AADAT",51166,-0.00733505301041182,-0.0146079376781997,-0.0160057176005996,0.238748719528724,0.0310695541254523,1.98818483897843e-09,1,0.757856126650722,0.259641481345827,1.5627897520847e-07,TRUE,TRUE,-0.256726855364414,-0.438238130345991,-1.04037164403897,-1.04037164403897,1.5627897520847e-07
"46","AASS",10157,-0.00375215413969848,-0.00801496133890981,-0.0066228125906213,0.479786544618695,0.143129872900599,0.00270570929278629,0,0.886804523141201,0.486308431000754,0.0126739813927741,TRUE,TRUE,-0.131325394889447,-0.240448840167294,-0.430482818390384,-0.430482818390384,0.0126739813927741
"48","AATK",9625,0.0134177125309988,-0.00466945870350704,0.00840214698001483,0.014432119250976,0.503834807710077,0.00088522193972315,0,0.318748748490303,0.773793639826471,0.00518969615092427,TRUE,TRUE,0.469619938584959,-0.140083761105211,0.546139553700964,0.546139553700964,0.00518969615092427
"50","ABCA10",10349,-0.00880836179730378,-0.0128642839273771,-0.0104465271586075,0.0823843697427232,0.00681880975366985,2.84310842708321e-07,1,0.569198568097375,0.153249683780259,8.34836306383613e-06,TRUE,TRUE,-0.308292662905632,-0.385928517821312,-0.67902426530949,-0.67902426530949,8.34836306383613e-06
"53","ABCA13",154664,-0.00917132734577044,-0.0119256431263175,-0.00861505990165337,0.189680332966901,0.0759715056277676,0.00229079371675989,0,0.711818046779888,0.370793687620377,0.0111098602727626,TRUE,TRUE,-0.320996457101965,-0.357769293789524,-0.559978893607469,-0.559978893607469,0.0111098602727626
"57","ABCA3",21,0.00914657940388178,0.00553943937738026,0.00849361148568497,0.12930486888957,0.401818039657354,0.000977605839486424,0,0.64705394428667,0.71036312020351,0.00560272869926642,TRUE,TRUE,0.320130279135862,0.166183181321408,0.552084746569523,0.552084746569523,0.00560272869926642
"59","ABCA5",23461,-0.0178955900564765,-0.00821139295563252,-0.00711490007969435,0.00121968902623678,0.163900136918092,0.00230533965143156,0,0.109328002759654,0.512436942541718,0.0111592199091205,TRUE,TRUE,-0.626345651976678,-0.246341788668976,-0.462468505180133,-0.462468505180133,0.0111592199091205
"60","ABCA6",23460,-0.00864961815730801,-0.0262458342769897,-0.014268407054012,0.192379541409724,0.000226080410383271,3.96725186464197e-07,1,0.71641799778956,0.0515840340340402,1.08684619782423e-05,TRUE,TRUE,-0.30273663550578,-0.787375028309691,-0.927446458510783,-0.927446458510783,1.08684619782423e-05
"62","ABCA8",10351,-0.00878697089361958,-0.0246941662688884,-0.0163385923374516,0.331487271402057,0.0100764860992075,1.84486561084493e-05,0,0.819250967085563,0.17333978461765,0.000231026461328663,TRUE,TRUE,-0.307543981276685,-0.740824988066652,-1.06200850193435,-1.06200850193435,0.000231026461328663
"63","ABCA9",10350,-0.0153153605584288,-0.0281140285790844,-0.0167653826184754,0.0317438252940372,7.74788365729279e-05,1.09344648126257e-08,1,0.420880878763355,0.0381986279401097,6.01279575278188e-07,TRUE,TRUE,-0.536037619545007,-0.843420857372533,-1.0897498702009,-1.0897498702009,6.01279575278188e-07
"66","ABCB1",5243,-0.00703887597575636,-0.0214965706660585,-0.0113126822084753,0.271674542070211,0.000648496221852443,1.530124488939e-05,0,0.778290974506894,0.0739011873061409,0.00019941356823952,TRUE,TRUE,-0.246360659151472,-0.644897119981755,-0.735324343550896,-0.735324343550896,0.00019941356823952
"73","ABCC10",89845,-0.00497162335393008,-0.00679516423785773,-0.00588978121998947,0.0816517183881953,0.0234746968945,9.09841339624917e-07,1,0.567727875558693,0.231627894161373,2.11781633917021e-05,TRUE,TRUE,-0.174006817387553,-0.203854927135732,-0.382835779299315,-0.382835779299315,2.11781633917021e-05
"74","ABCC11",85320,0.0152933545389584,0.0225295021308349,0.0217653500751619,0.29743292320143,0.148164463162915,0.000432738527083506,0,0.798771832187869,0.492719991244806,0.00291012743600053,TRUE,TRUE,0.535267408863545,0.675885063925047,1.41474775488552,1.41474775488552,0.00291012743600053
"80","ABCC4",10257,-0.00485088951793799,-0.0195649561162613,-0.0121552226474936,0.483869692628031,0.00790762142324085,3.23516772036172e-05,0,0.888503227656201,0.160237675634886,0.000364281667774283,TRUE,TRUE,-0.16978113312783,-0.586948683487838,-0.790089472087084,-0.790089472087084,0.000364281667774283
"83","ABCC6P2",730013,0.019512550566254,0.00385036039277209,0.00947754001553104,1.84078117756113e-06,0.447982337678019,3.51740566532949e-07,1,0.00470250561572711,0.738569479007407,9.87816564532099e-06,TRUE,TRUE,0.68293926981889,0.115510811783163,0.616040101009517,0.616040101009517,9.87816564532099e-06
"84","ABCC6",368,0.0333178293316596,0.00921942645117531,0.0184790412272771,8.32221455374188e-07,0.266185450661579,1.58557786371335e-09,1,0.00340162197669646,0.611101380411424,1.29617819202839e-07,TRUE,TRUE,1.16612402660809,0.276582793535259,1.20113767977301,1.20113767977301,1.29617819202839e-07
"85","ABCC8",6833,0.00188078427689179,0.026010608435905,0.0132471006593949,0.856949930341114,0.02303315934755,0.00297470250569726,0,0.978326661420543,0.230966971645792,0.0136769392821001,TRUE,TRUE,0.0658274496912127,0.780318253077151,0.861061542860671,0.861061542860671,0.0136769392821001
"88","ABCD2",225,0.000689067101269187,-0.0114297073535422,-0.00545488012858687,0.8722786661475,0.0189744288959367,0.0034151859980275,0,0.979326377080956,0.214361748671231,0.0152635010992899,TRUE,TRUE,0.0241173485444216,-0.342891220606267,-0.354567208358147,-0.354567208358147,0.0152635010992899
