"","Hugo_Symbol","Entrez_Gene_Id","LE60_slope","GT60_slope","AllAges_slope","LE60_pval","GT60_pval","AllAges_pval","AgeDependentp","LE60_BHadj_pval","GT60_BHadj_pval","AllAges_BHadj_pval","BHadj_and_AgeDependentp","BHadj_signifp","LE60_log2FC","GT60_log2FC","AllAges_log2FC","Best_log2FC","Best_BHadj_pval"
"36","AADAT",51166,-0.00733505301041182,-0.0146079376781997,-0.0160057176005996,0.238748719528724,0.0310695541254523,1.98818483897843e-09,1,0.757856126650722,0.259641481345827,1.5627897520847e-07,TRUE,TRUE,-0.256726855364414,-0.438238130345991,-1.04037164403897,-1.04037164403897,1.5627897520847e-07
"50","ABCA10",10349,-0.00880836179730378,-0.0128642839273771,-0.0104465271586075,0.0823843697427232,0.00681880975366985,2.84310842708321e-07,1,0.569198568097375,0.153249683780259,8.34836306383613e-06,TRUE,TRUE,-0.308292662905632,-0.385928517821312,-0.67902426530949,-0.67902426530949,8.34836306383613e-06
"60","ABCA6",23460,-0.00864961815730801,-0.0262458342769897,-0.014268407054012,0.192379541409724,0.000226080410383271,3.96725186464197e-07,1,0.71641799778956,0.0515840340340402,1.08684619782423e-05,TRUE,TRUE,-0.30273663550578,-0.787375028309691,-0.927446458510783,-0.927446458510783,1.08684619782423e-05
"63","ABCA9",10350,-0.0153153605584288,-0.0281140285790844,-0.0167653826184754,0.0317438252940372,7.74788365729279e-05,1.09344648126257e-08,1,0.420880878763355,0.0381986279401097,6.01279575278188e-07,TRUE,TRUE,-0.536037619545007,-0.843420857372533,-1.0897498702009,-1.0897498702009,6.01279575278188e-07
"73","ABCC10",89845,-0.00497162335393008,-0.00679516423785773,-0.00588978121998947,0.0816517183881953,0.0234746968945,9.09841339624917e-07,1,0.567727875558693,0.231627894161373,2.11781633917021e-05,TRUE,TRUE,-0.174006817387553,-0.203854927135732,-0.382835779299315,-0.382835779299315,2.11781633917021e-05
"83","ABCC6P2",730013,0.019512550566254,0.00385036039277209,0.00947754001553104,1.84078117756113e-06,0.447982337678019,3.51740566532949e-07,1,0.00470250561572711,0.738569479007407,9.87816564532099e-06,TRUE,TRUE,0.68293926981889,0.115510811783163,0.616040101009517,0.616040101009517,9.87816564532099e-06
"84","ABCC6",368,0.0333178293316596,0.00921942645117531,0.0184790412272771,8.32221455374188e-07,0.266185450661579,1.58557786371335e-09,1,0.00340162197669646,0.611101380411424,1.29617819202839e-07,TRUE,TRUE,1.16612402660809,0.276582793535259,1.20113767977301,1.20113767977301,1.29617819202839e-07
"103","ABHD12",26090,0.00598485479044111,0.0153342739799418,0.00917545287176459,0.0825398148308188,0.000144077309277427,1.76994477115246e-09,1,0.569393179852871,0.0455313828579232,1.42298934477831e-07,TRUE,TRUE,0.209469917665439,0.460028219398255,0.596404436664698,0.596404436664698,1.42298934477831e-07
"132","ACAA2",10449,-0.00821460994791353,-0.00728117565617246,-0.00892700404276683,0.0207552109731474,0.0934973962366948,2.67040815518491e-08,1,0.364434808300926,0.406814197762259,1.25104361294198e-06,TRUE,TRUE,-0.287511348176973,-0.218435269685174,-0.580255262779844,-0.580255262779844,1.25104361294198e-06
"184","ACOT9",23597,-0.0076742818654276,-0.00407147474515956,-0.010649693218965,0.0549767781279494,0.416238897331149,6.53282283875617e-09,1,0.506231193337682,0.718781412510195,4.07046647425792e-07,TRUE,TRUE,-0.268599865289966,-0.122144242354787,-0.692230059232728,-0.692230059232728,4.07046647425792e-07
"186","ACOX2",8309,0.0177386908570849,0.0258049785964158,0.0242116701839565,0.0743587890035634,0.0146104840058052,8.61475736105435e-09,1,0.554479253982004,0.192047929004706,5.04469330051197e-07,TRUE,TRUE,0.620854179997973,0.774149357892473,1.57375856195717,1.57375856195717,5.04469330051197e-07
"206","ACSL4",2182,-0.00411364280801736,-0.0184837166018263,-0.0117049125817416,0.410753779641038,0.00258865612415162,2.32997685916245e-07,1,0.856696229059068,0.113826579730654,7.11774844106173e-06,TRUE,TRUE,-0.143977498280608,-0.554511498054788,-0.760819317813202,-0.760819317813202,7.11774844106173e-06
"219","ACTA2",59,-0.00864497635327677,-0.00886086727666904,-0.014865611136207,0.164968077019992,0.191758849040715,2.54734323848253e-08,1,0.688895094004409,0.545742319711055,1.20509383714971e-06,TRUE,TRUE,-0.302574172364687,-0.265826018300071,-0.966264723853457,-0.966264723853457,1.20509383714971e-06
"224","ACTG2",72,-0.0147869863649913,-0.0223529602916485,-0.0281981728774908,0.212011815287677,0.0611441610252197,9.22636475438668e-09,1,0.731906329228759,0.341982271174717,5.28177076989918e-07,TRUE,TRUE,-0.517544522774696,-0.670588808749455,-1.8328812370369,-1.8328812370369,5.28177076989918e-07
"231","ACTN1",87,-0.00929909908910086,-0.00328368608230168,-0.00883536736759599,0.0136540816577088,0.4597134563577,1.29527309020686e-07,1,0.312516935352561,0.746744458290813,4.34671529467285e-06,TRUE,TRUE,-0.32546846811853,-0.0985105824690505,-0.57429887889374,-0.57429887889374,4.34671529467285e-06
"250","ACVR2A",92,-0.00750763399279721,-0.00578878137377625,-0.00839999625667844,0.0280625599682418,0.12962714013757,1.37472907692032e-08,1,0.399771694385467,0.46626365668195,7.35480056152372e-07,TRUE,TRUE,-0.262767189747902,-0.173663441213287,-0.545999756684099,-0.545999756684099,7.35480056152372e-07
"266","ADAM19",8728,-0.00756913014834015,-0.0160418342154598,-0.0158104911020043,0.148280071808828,0.0170796905448727,8.65678728085398e-11,1,0.66942652532323,0.205121100396987,1.29691045277448e-08,TRUE,TRUE,-0.264919555191905,-0.481255026463793,-1.02768192163028,-1.02768192163028,1.29691045277448e-08
"280","ADAM6",8755,-0.00582124129299525,-0.0380945029612226,-0.030447344824411,0.640503419540037,0.00887536243827269,3.41585718385293e-08,1,0.943032855161501,0.165497976415127,1.48950166995574e-06,TRUE,TRUE,-0.203743445254834,-1.14283508883668,-1.97907741358671,-1.97907741358671,1.48950166995574e-06
"294","ADAMTS1",9510,-0.00531017348944915,-0.019656339358843,-0.0148347296985826,0.432377408348356,0.0170109426426842,1.14166301795294e-06,1,0.866023708353498,0.205104799285273,2.51967247277584e-05,TRUE,TRUE,-0.18585607213072,-0.589690180765291,-0.964257430407868,-0.964257430407868,2.51967247277584e-05
"297","ADAMTS3",9508,-0.00478295940957432,-0.0082491827925472,-0.0104747146736851,0.352032836196507,0.0922023500682041,4.73543259314763e-07,1,0.830330772259549,0.403574171087441,1.25197976592701e-05,TRUE,TRUE,-0.167403579335101,-0.247475483776416,-0.680856453789533,-0.680856453789533,1.25197976592701e-05
"299","ADAMTS5",11096,-0.0104687575198638,-0.0105084699493317,-0.0171383516364728,0.0931044386133477,0.120774276463881,1.46238205408864e-10,1,0.588585905788212,0.451649384829337,1.940694937624e-08,TRUE,TRUE,-0.366406513195232,-0.315254098479952,-1.11399285637073,-1.11399285637073,1.940694937624e-08
