Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ANTXR1,84168,-0.009751152606194389,-0.01922701330822997,-0.01663146315531183,0.2447909759331436,0.04908213813297944,7.542052424835816e-6,0,0.9995884155350505,0.9000940481458689,0.00649644970230176,TRUE,TRUE,-0.34129034121680363,-0.5768103992468991,-1.0810451050952687,-1.0810451050952687,0.00649644970230176,FALSE,Tier 2 Only
C3ORF17,25871,-0.007423543144947676,-0.00995198996471527,-0.005578793566680725,0.014487815502151304,0.0011507855629462563,7.0323396701113845e-6,0,0.9995884155350505,0.9000940481458689,0.00649644970230176,TRUE,TRUE,-0.25982401007316863,-0.2985596989414581,-0.36262158183424714,-0.36262158183424714,0.00649644970230176,FALSE,Tier 1
CCNH,902,0.004117236677712651,0.007969751619770366,0.006340871131331944,0.2202591063915514,0.019371468517337592,4.419138913841285e-6,0,0.9995884155350505,0.9000940481458689,0.005199817594043572,TRUE,TRUE,0.14410328371994277,0.23909254859311097,0.4121566235365764,0.4121566235365764,0.005199817594043572,FALSE,Tier 1
CD22,933,-0.030704179037544792,-0.007363793420047506,-0.018859092367819654,8.085286842069893e-4,0.4264393299460971,5.593713927626357e-7,0,0.7489953188437948,0.9243780306380913,0.0015142982704074211,TRUE,TRUE,-1.0746462663140677,-0.22091380260142518,-1.2258410039082774,-1.2258410039082774,0.0015142982704074211,TRUE,Tier 2 Only
DIO2,1734,-0.01812619894409425,-0.018529598231302437,-0.024553090883705383,0.1456086538676051,0.13962482724307373,1.5812913244606456e-6,0,0.9995884155350505,0.9000940481458689,0.002724133690775385,TRUE,TRUE,-0.6344169630432988,-0.5558879469390731,-1.5959509074408498,-1.5959509074408498,0.002724133690775385,TRUE,Not ER binding
FNDC1,84624,-0.009493242102949,-0.026140519730947692,-0.02623313314401029,0.4592973704950746,0.0683476013888537,2.464037294635944e-6,0,0.9995884155350505,0.9000940481458689,0.0035918082102577797,TRUE,TRUE,-0.332263473603215,-0.7842155919284308,-1.7051536543606687,-1.7051536543606687,0.0035918082102577797,FALSE,Not ER binding
GALNT16,57452,-0.024881500807773398,-0.006064364662689549,-0.019904829842769922,0.017923749207704603,0.5859819870837186,6.853914405629057e-6,0,0.9995884155350505,0.943381339012428,0.00649644970230176,TRUE,TRUE,-0.8708525282720689,-0.18193093988068648,-1.293813939780045,-1.293813939780045,0.00649644970230176,FALSE,Not ER binding
GSK3B,2932,-0.004631082508170707,-0.014745941511413986,-0.007544716040662932,0.23845837222157945,1.3821960783775073e-4,2.1416815694909993e-6,0,0.9995884155350505,0.9000940481458689,0.0033820721451545367,TRUE,TRUE,-0.16208788778597474,-0.4423782453424196,-0.4904065426430906,-0.4904065426430906,0.0033820721451545367,FALSE,Tier 1
MSL2,55167,-0.005872333620776414,-0.011388028403664046,-0.00586710978426372,0.04449906308754399,6.668995438763514e-4,4.540023197468198e-6,0,0.9995884155350505,0.9000940481458689,0.005199817594043572,TRUE,TRUE,-0.20553167672717448,-0.3416408521099214,-0.3813621359771418,-0.3813621359771418,0.005199817594043572,FALSE,Not ER binding
MYO1D,4642,-0.005271845174176424,-0.007424746883530477,-0.011349589869926988,0.3814054686952577,0.24190089932918554,7.40641435069722e-6,0,0.9995884155350505,0.9000940481458689,0.00649644970230176,TRUE,TRUE,-0.18451458109617483,-0.22274240650591431,-0.7377233415452542,-0.7377233415452542,0.00649644970230176,FALSE,Tier 2 Only
NDUFAF2,91942,0.0020118151377651987,0.0160881256401184,0.009622476463066802,0.6548773824422116,0.0019144443312117043,1.259964531088848e-6,0,0.9995884155350505,0.9000940481458689,0.0026529253182370747,TRUE,TRUE,0.07041352982178195,0.482643769203552,0.6254609700993421,0.6254609700993421,0.0026529253182370747,FALSE,Tier 1
