Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ANGPTL3,27329,-0.06130969762060339,-0.019757592243662168,-0.034405000332682664,0.0023395683215402465,0.33715586463183944,4.307269766258566e-5,0,0.999672943161361,0.993553924992165,0.035519334322832254,TRUE,TRUE,-2.1458394167211186,-0.592727767309865,-2.2363250216243733,-2.2363250216243733,0.035519334322832254,FALSE,Not ER binding
ANTXR1,84168,-0.018093017620204682,-0.027991779885466056,-0.022179140990350395,0.06285212337602232,0.03650709545059404,2.3292948436091233e-6,0,0.999672943161361,0.993553924992165,0.0055175171607991106,TRUE,TRUE,-0.6332556167071639,-0.8397533965639816,-1.4416441643727758,-1.4416441643727758,0.0055175171607991106,FALSE,Tier 2 Only
ASPN,54829,-0.022433373393146952,-0.031695962731274833,-0.0251546141989057,0.08354147484452057,0.06955769570665479,4.534109692850324e-5,0,0.999672943161361,0.993553924992165,0.035519334322832254,TRUE,TRUE,-0.7851680687601433,-0.950878881938245,-1.6350499229288704,-1.6350499229288704,0.035519334322832254,FALSE,Not ER binding
BAZ2B,29994,-0.011046673014354242,-0.01057891161525889,-0.011577976579669412,0.08710876849461993,0.17978147795676094,7.3757830717315e-5,0,0.999672943161361,0.993553924992165,0.04290117282827587,TRUE,TRUE,-0.3866335555023985,-0.3173673484577667,-0.7525684776785118,-0.7525684776785118,0.04290117282827587,FALSE,Not ER binding
C3ORF17,25871,-0.008752129435933531,-0.011642870397117996,-0.00681109086565824,0.019891251404171122,0.005671460057782396,2.918059381339127e-5,0,0.999672943161361,0.993553924992165,0.032892618134027135,TRUE,TRUE,-0.3063245302576736,-0.34928611191353987,-0.4427209062677856,-0.4427209062677856,0.032892618134027135,FALSE,Tier 1
CCDC50,152137,-0.0023194619578336246,-0.008763463322994113,-0.008814944542139387,0.5634332212879523,0.08187106788188268,2.1298464953100112e-6,0,0.999672943161361,0.993553924992165,0.0055175171607991106,TRUE,TRUE,-0.08118116852417687,-0.2629038996898234,-0.5729713952390602,-0.5729713952390602,0.0055175171607991106,FALSE,Not ER binding
CD1C,911,-0.014614256577217877,-0.010231988248243326,-0.014060422658011537,0.09842158674570285,0.2355459028187752,1.0528815953685558e-4,0,0.999672943161361,0.993553924992165,0.04575332897825465,TRUE,TRUE,-0.5114989802026257,-0.30695964744729975,-0.9139274727707499,-0.9139274727707499,0.04575332897825465,FALSE,Not ER binding
CLGN,1047,0.052486316330705,0.005251266423792286,0.026046242653793215,3.389599001687466e-4,0.7617086263649575,6.679881825833623e-5,0,0.9713383069543118,0.993553924992165,0.04290117282827587,TRUE,TRUE,1.837021071574675,0.1575379927137686,1.693005772496559,1.693005772496559,0.04290117282827587,FALSE,Not ER binding
CNN1,1264,-0.027187406025028015,-0.034326066261159825,-0.026429732218644253,0.07260532901277789,0.058531595666464875,9.591903588713041e-5,0,0.999672943161361,0.993553924992165,0.04544164325152803,TRUE,TRUE,-0.9515592108759805,-1.0297819878347947,-1.7179325942118764,-1.7179325942118764,0.04544164325152803,FALSE,Tier 2 Only
COL14A1,7373,-0.012120396288781261,-0.0395937567717822,-0.028647906975260918,0.4238092317021911,0.04060545987983672,4.539429594996802e-5,0,0.999672943161361,0.993553924992165,0.035519334322832254,TRUE,TRUE,-0.4242138701073441,-1.187812703153466,-1.8621139533919597,-1.8621139533919597,0.035519334322832254,TRUE,Tier 2 Only
DIO2,1734,-0.01782887822326726,-0.02564889244414092,-0.029935452267523616,0.24688859374383842,0.13399418058384224,7.884833376196551e-6,0,0.999672943161361,0.993553924992165,0.014941759247892464,TRUE,TRUE,-0.6240107378143541,-0.7694667733242276,-1.945804397389035,-1.945804397389035,0.014941759247892464,TRUE,Not ER binding
FBLIM1,54751,-0.018729525244264533,-0.020294750630264195,-0.019039041863814398,0.07860978744215544,0.13058417757443613,9.871592556193895e-5,0,0.999672943161361,0.993553924992165,0.04562601925362788,TRUE,TRUE,-0.6555333835492586,-0.6088425189079258,-1.237537721147936,-1.237537721147936,0.04562601925362788,FALSE,Not ER binding
FBN1,2200,-0.02238131399371374,-0.01721665898648886,-0.018542366678143234,0.042024965857470765,0.1693195593192692,1.149668507302649e-4,0,0.999672943161361,0.993553924992165,0.048413818251967104,TRUE,TRUE,-0.7833459897799809,-0.5164997695946658,-1.2052538340793102,-1.2052538340793102,0.048413818251967104,FALSE,Not ER binding
FNDC1,84624,-0.017870711853712567,-0.04096832420407706,-0.029882927762474053,0.24099074184697505,0.035687809899796384,2.3806924725640298e-5,0,0.999672943161361,0.993553924992165,0.03222437311077741,TRUE,TRUE,-0.6254749148799399,-1.229049726122312,-1.9423903045608135,-1.9423903045608135,0.03222437311077741,FALSE,Not ER binding
ARHGEF25,115557,-0.02329748975752868,-0.01901219123974283,-0.017615880385054017,0.009584481585053714,0.12191748647667495,4.332933598347737e-5,0,0.999672943161361,0.993553924992165,0.035519334322832254,TRUE,TRUE,-0.8154121415135038,-0.5703657371922849,-1.145032225028511,-1.145032225028511,0.035519334322832254,FALSE,Tier 2 Only
GOLGB1,2804,1.1851460319042648e-4,-0.012740906285629822,-0.009034884642225221,0.9810743071743859,0.03905457982839227,7.74110154727913e-5,0,0.999672943161361,0.993553924992165,0.04290117282827587,TRUE,TRUE,0.0041480111116649265,-0.38222718856889465,-0.5872675017446394,-0.5872675017446394,0.04290117282827587,FALSE,Tier 1
GSK3B,2932,-0.004310550806744157,-0.014542257639177297,-0.00803499158841237,0.34564558942180645,0.0067862700389978246,7.569981990627245e-5,0,0.999672943161361,0.993553924992165,0.04290117282827587,TRUE,TRUE,-0.1508692782360455,-0.4362677291753189,-0.522274453246804,-0.522274453246804,0.04290117282827587,FALSE,Tier 1
GTF2E1,2960,-0.011774208498665617,-0.011460080719481165,-0.007395187790382947,0.0016239156020468873,0.017699166007141227,2.0739856410725765e-5,0,0.999672943161361,0.993553924992165,0.03023232915255794,TRUE,TRUE,-0.4120972974532966,-0.34380242158443497,-0.48068720637489154,-0.48068720637489154,0.03023232915255794,FALSE,Not ER binding
ITGA11,22801,-0.011683610874891495,-0.02369541724216549,-0.02635027337956165,0.43262667471546123,0.1815795790456817,7.923699466963881e-5,0,0.999672943161361,0.993553924992165,0.04290117282827587,TRUE,TRUE,-0.40892638062120235,-0.7108625172649646,-1.7127677696715073,-1.7127677696715073,0.04290117282827587,FALSE,Not ER binding
LMOD1,25802,-0.016975254115858245,-0.033436522426715146,-0.022757861636664344,0.18830562828237432,0.031502141160547954,8.586637312400692e-5,0,0.999672943161361,0.993553924992165,0.045199104741664754,TRUE,TRUE,-0.5941338940550386,-1.0030956728014544,-1.4792610063831824,-1.4792610063831824,0.045199104741664754,FALSE,Not ER binding
MBNL1-AS1,401093,-0.005290895856274016,-0.018769822700774184,-0.013300164733195731,0.49870843423767086,0.032502201201904966,9.378738069726955e-5,0,0.999672943161361,0.993553924992165,0.04544164325152803,TRUE,TRUE,-0.18518135496959057,-0.5630946810232255,-0.8645107076577225,-0.8645107076577225,0.04544164325152803,FALSE,Not ER binding
MSL2,55167,-0.006073260783918749,-0.013383049482537835,-0.006781956455941175,0.08430649906713557,0.004152026424684301,4.384320496994319e-5,0,0.999672943161361,0.993553924992165,0.035519334322832254,TRUE,TRUE,-0.21256412743715622,-0.4014914844761351,-0.44082716963617635,-0.44082716963617635,0.035519334322832254,FALSE,Not ER binding
MYO1D,4642,-0.002525661131368094,-0.004209534062888964,-0.011835679289793413,0.7004976392345802,0.5958198060082212,7.260643005413903e-5,0,0.999672943161361,0.993553924992165,0.04290117282827587,TRUE,TRUE,-0.0883981395978833,-0.12628602188666893,-0.7693191538365719,-0.7693191538365719,0.04290117282827587,FALSE,Tier 2 Only
NACAD,23148,-0.025481294904455044,-0.02392301484916295,-0.020727191366404173,0.026471473137004046,0.09636607847115954,7.919632461255602e-5,0,0.999672943161361,0.993553924992165,0.04290117282827587,TRUE,TRUE,-0.8918453216559266,-0.7176904454748886,-1.3472674388162713,-1.3472674388162713,0.04290117282827587,FALSE,Not ER binding
NDUFAF2,91942,0.003812110689593173,0.020839341156011312,0.012288075670914014,0.4853882391893988,0.002680158383183643,1.300485620137531e-6,1,0.999672943161361,0.993553924992165,0.004107367083601036,TRUE,TRUE,0.13342387413576107,0.6251802346803393,0.798724918609411,0.798724918609411,0.004107367083601036,FALSE,Tier 1
NEFH,4744,-0.024299915724780765,-0.01113644098390537,-0.015240119533367484,0.0010301233180409766,0.04037800364016446,4.492497480983285e-8,1,0.999672943161361,0.993553924992165,8.513282726463324e-4,TRUE,TRUE,-0.8504970503673268,-0.3340932295171611,-0.9906077696688864,-0.9906077696688864,8.513282726463324e-4,FALSE,Not ER binding
NEXN,91624,-0.01905645015637039,-0.030730233672180175,-0.019241010425076418,0.08666670137692316,0.014504375150237465,7.079078952188776e-5,0,0.999672943161361,0.993553924992165,0.04290117282827587,TRUE,TRUE,-0.6669757554729637,-0.9219070101654052,-1.2506656776299672,-1.2506656776299672,0.04290117282827587,FALSE,Not ER binding
PALLD,23022,-0.01782034485487886,-0.02296028388247832,-0.02063741602936589,0.05482495196338556,0.0367796137921868,6.766255872986234e-7,1,0.999672943161361,0.993553924992165,0.0031699153895804605,TRUE,TRUE,-0.6237120699207601,-0.6888085164743496,-1.3414320419087828,-1.3414320419087828,0.0031699153895804605,TRUE,Tier 2 Only
PASK,23178,-0.011347130988988553,-0.012391076041626014,-0.012254336873868982,0.0833571810835471,0.08996783837811226,1.6374609816312816e-5,0,0.999672943161361,0.993553924992165,0.028208986910829806,TRUE,TRUE,-0.39714958461459937,-0.37173228124878044,-0.7965318968014838,-0.7965318968014838,0.028208986910829806,FALSE,Tier 1
PHLDB2,90102,-0.005465407291214523,-0.010957991241331554,-0.011020184712531888,0.42159252420717663,0.10404336150464431,8.892584162355254e-5,0,0.999672943161361,0.993553924992165,0.04544164325152803,TRUE,TRUE,-0.1912892551925083,-0.3287397372399466,-0.7163120063145727,-0.7163120063145727,0.04544164325152803,FALSE,Tier 2 Only
PODN,127435,-0.04341059686667348,-0.03413115241078609,-0.039537163486270545,0.010032123151250618,0.09867250243184639,2.6152126221379715e-7,1,0.999672943161361,0.993553924992165,0.0016519426396504854,TRUE,TRUE,-1.5193708903335716,-1.0239345723235826,-2.5699156266075853,-2.5699156266075853,0.0016519426396504854,FALSE,Not ER binding
QTRTD1,79691,-0.007617105928005405,-0.014406874004560028,-0.007536154791289489,0.048896351235676844,0.004149685309578598,2.9507889618916162e-5,0,0.999672943161361,0.993553924992165,0.032892618134027135,TRUE,TRUE,-0.26659870748018916,-0.4322062201368008,-0.4898500614338168,-0.4898500614338168,0.032892618134027135,FALSE,Not ER binding
RAB7A,7879,-0.0064196129230229175,-0.007614728870820313,-0.006323128159682666,0.04453186730602791,0.09571479600490512,5.693142101026617e-5,0,0.999672943161361,0.993553924992165,0.0402495836996759,TRUE,TRUE,-0.22468645230580211,-0.22844186612460937,-0.4110033303793733,-0.4110033303793733,0.0402495836996759,FALSE,Tier 1
RANBP17,64901,-0.01570230570072049,-0.029709678330026055,-0.018850194785858004,0.08342269286713187,0.006308125638853933,3.689156979809857e-6,0,0.999672943161361,0.993553924992165,0.007767724974155199,TRUE,TRUE,-0.549580699525217,-0.8912903499007816,-1.2252626610807702,-1.2252626610807702,0.007767724974155199,FALSE,Not ER binding
RFPL1S,10740,-0.014215882341256246,-0.006495862928939078,-0.009723436040516984,0.005344657161819604,0.05498775701528435,2.0886119451013398e-7,1,0.999672943161361,0.993553924992165,0.0016519426396504854,TRUE,TRUE,-0.4975558819439686,-0.19487588786817234,-0.6320233426336039,-0.6320233426336039,0.0016519426396504854,FALSE,Not ER binding
RXFP1,59350,-0.00867088844698908,-0.013377910372556732,-0.015451774079952643,0.3547758056368817,0.1398471202839894,5.734769181484165e-5,0,0.999672943161361,0.993553924992165,0.0402495836996759,TRUE,TRUE,-0.3034810956446178,-0.40133731117670196,-1.0043653151969218,-1.0043653151969218,0.0402495836996759,FALSE,Not ER binding
TRPC1,7220,-0.014155664453855308,-0.015957369314432462,-0.011461209821240782,0.02357319356155477,0.05621756566494546,1.0568127486217938e-4,0,0.999672943161361,0.993553924992165,0.04575332897825465,TRUE,TRUE,-0.49544825588493574,-0.4787210794329739,-0.7449786383806508,-0.7449786383806508,0.04575332897825465,FALSE,Not ER binding
