Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ARHGAP31,57514,0.040302712041969245,0.02613734230249155,0.024240238872900523,0.0045664731613654285,0.0023560127849503163,7.882921058834308e-8,1,0.29118318137514926,0.22598953669696525,1.0794854776101884e-4,TRUE,TRUE,0.9269623769652926,0.7318455844697634,1.2362521825179267,1.2362521825179267,1.0794854776101884e-4,FALSE,Not ER binding
B4GALNT4,338707,-0.036248535796806564,-0.04950228363829396,-0.044354094225791986,0.16562538580512248,0.002833973166626432,2.3697288780016304e-7,1,0.5927759693687636,0.2268213482204613,1.7467096050746128e-4,TRUE,TRUE,-0.833716323326551,-1.386063941872231,-2.2620588055153914,-2.2620588055153914,1.7467096050746128e-4,FALSE,Not ER binding
SAPCD2,89958,-0.029022050463683766,-0.029105322386507475,-0.02842867724037522,0.0631417329548315,0.005076157766517254,8.261109971071039e-8,1,0.45237649886353754,0.2506288013483933,1.0794854776101884e-4,TRUE,TRUE,-0.6675071606647266,-0.8149490268222093,-1.4498625392591362,-1.4498625392591362,1.0794854776101884e-4,FALSE,Tier 2 Only
CBS,875,-0.062535269939916,-0.02425510651542898,-0.036415061537489815,0.001861649830527745,0.06747165561800673,8.544739928312837e-8,1,0.24594556257699882,0.4971619320923928,1.0794854776101884e-4,TRUE,TRUE,-1.4383112086180678,-0.6791429824320114,-1.8571681384119805,-1.8571681384119805,1.0794854776101884e-4,FALSE,Not ER binding
CLIC2,1193,0.03059757350522122,0.036606029744522345,0.02788145502341651,0.05809148317443565,1.768491637132746e-4,5.3832699261613865e-8,1,0.44227947213963664,0.17008153185200678,1.0794854776101884e-4,TRUE,TRUE,0.703744190620088,1.0249688328466258,1.421954206194242,1.421954206194242,1.0794854776101884e-4,FALSE,Not ER binding
FRZB,2487,0.0426461258493973,0.029595746961076145,0.03144838352796408,0.004869196452058179,0.003760634634090581,1.5190881746402097e-9,1,0.29118318137514926,0.24238167671556218,1.4393360454715988e-5,TRUE,TRUE,0.980860894536138,0.8286809149101321,1.603867559926168,1.603867559926168,1.4393360454715988e-5,FALSE,Not ER binding
PTGER4,5734,0.04755078980398042,0.02814754471846952,0.023853522809738424,0.0014234497790301655,0.001199323432479741,2.4167270214852334e-7,1,0.24526431640990726,0.20915434454810813,1.7467096050746128e-4,TRUE,TRUE,1.0936681654915497,0.7881312521171465,1.2165296632966596,1.2165296632966596,1.7467096050746128e-4,FALSE,Tier 1
RCOR2,283248,-0.04507408249747332,-0.02290960750084352,-0.03169713261681914,0.02224640568126137,0.04303727275871593,1.7676723875501706e-7,1,0.34385757557903995,0.4459725601301831,1.7467096050746128e-4,TRUE,TRUE,-1.0367038974418863,-0.6414690100236186,-1.6165537634577762,-1.6165537634577762,1.7467096050746128e-4,FALSE,Not ER binding
RECQL4,9401,-0.03092051363294481,-0.02919161760285298,-0.028135561144042892,0.04654099030843248,0.004100426912621829,6.849983741564615e-8,1,0.41620151403528144,0.24512015771035853,1.0794854776101884e-4,TRUE,TRUE,-0.7111718135577306,-0.8173652928798834,-1.4349136183461875,-1.4349136183461875,1.0794854776101884e-4,FALSE,Tier 1
SLC1A3,6507,0.03877631332284754,0.0348006078940933,0.027148277374966286,0.016500131301325594,5.589424394701621e-4,2.1869650750679448e-7,1,0.32870399803677736,0.18521772553202892,1.7467096050746128e-4,TRUE,TRUE,0.8918552064254934,0.9744170210346124,1.3845621461232807,1.3845621461232807,1.7467096050746128e-4,TRUE,Tier 2 Only
SLC25A10,1468,-0.03732285748979211,-0.015962232291500258,-0.019663422575755558,0.0016179067270138986,0.028639656373606017,2.488715532296282e-7,1,0.24594556257699882,0.4032170981617362,1.7467096050746128e-4,TRUE,TRUE,-0.8584257222652185,-0.4469425041620072,-1.0028345513635335,-1.0028345513635335,1.7467096050746128e-4,FALSE,Tier 2 Only
SLC40A1,30061,0.04553464416258025,0.02959775748159269,0.03307072565554219,0.0088237582794188,0.0021178661243696725,2.8609984910301995e-10,1,0.3103937849553362,0.22383972859864873,5.4215921405022285e-6,TRUE,TRUE,1.0472968157393456,0.8287372094845954,1.6866070084326519,1.6866070084326519,5.4215921405022285e-6,FALSE,Tier 2 Only
THRB,7068,0.026627026405726166,0.018345771487622994,0.02793090308602311,0.12089636966948722,0.055887598921057026,8.244692627544395e-8,1,0.5408371589321961,0.47491928231122454,1.0794854776101884e-4,TRUE,TRUE,0.6124216073317018,0.5136816016534438,1.4244760573871786,1.4244760573871786,1.0794854776101884e-4,FALSE,Tier 2 Only
TLR3,7098,0.02985906945064372,0.02707398027644647,0.02689523915138387,0.0537151712318126,0.004019037112674287,5.2520856891134047e-8,1,0.43356160937670496,0.24443088674705135,1.0794854776101884e-4,TRUE,TRUE,0.6867585973648055,0.7580714477405012,1.3716571967205773,1.3716571967205773,1.0794854776101884e-4,FALSE,Not ER binding
TMEM37,140738,0.04146790213468879,0.03529785131620463,0.030439619856303286,0.006956515487503055,8.937407381603568e-4,1.3625454146945974e-8,1,0.3019462830409648,0.20405285527878025,8.606745202820874e-5,TRUE,TRUE,0.9537617490978422,0.9883398368537296,1.5524206126714677,1.5524206126714677,8.606745202820874e-5,FALSE,Not ER binding
ZNF695,57116,-0.04173400016348644,-0.03336036103471401,-0.025565391505456305,0.0025321481323620654,1.8848085323969088e-4,2.6037803294619822e-8,1,0.2548692844601242,0.17008153185200678,9.868327448660912e-5,TRUE,TRUE,-0.9598820037601881,-0.9340901089719922,-1.3038349667782716,-1.3038349667782716,9.868327448660912e-5,FALSE,Not ER binding
