Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ACSL5,51703,-0.011067807224277776,0.044192765023014426,0.03562366270327725,0.6934038823174477,0.007031729721302705,8.510722147567399e-5,0,0.999993433870326,0.2846804434643823,0.021567604364655345,TRUE,TRUE,-0.2545595661583888,1.2373974206444038,1.8168067978671396,1.8168067978671396,0.021567604364655345,FALSE,Not ER binding
ACTR3B,57180,-0.006195587278478346,-0.022937360293535273,-0.01473887889649913,0.6315263501671338,0.00307714663457095,4.618675701591252e-4,0,0.999993433870326,0.2560847466767056,0.040422273749132764,TRUE,TRUE,-0.14249850740500197,-0.6422460882189877,-0.7516828237214557,-0.7516828237214557,0.040422273749132764,FALSE,Not ER binding
ADAM32,203102,5.104632558156631e-4,-0.014665940932780909,-0.012414569108722713,0.9708641148439493,0.003190469933106277,2.7773839719665065e-4,0,0.999993433870326,0.2560847466767056,0.03462593833471401,TRUE,TRUE,0.01174065488376025,-0.41064634611786544,-0.6331430245448584,-0.6331430245448584,0.03462593833471401,FALSE,Not ER binding
ADRA2A,150,0.03447661603953119,0.049770037110405285,0.0457049468600872,0.25242664405014914,0.03559496671959109,1.4108177288633172e-4,0,0.999993433870326,0.36806445698286583,0.0256204240587304,TRUE,TRUE,0.7929621689092174,1.393561039091348,2.330952289864447,2.330952289864447,0.0256204240587304,FALSE,Not ER binding
AHRR,57491,-0.017500958015651016,-0.020201047596022273,-0.03054766418809798,0.44368772123537803,0.1304347455273342,3.654483691545504e-5,0,0.999993433870326,0.5353559514279799,0.015296829410055732,TRUE,TRUE,-0.40252203435997336,-0.5656293326886237,-1.557930873592997,-1.557930873592997,0.015296829410055732,TRUE,Tier 2 Only
AKAP13,11214,0.0071752095079285275,0.019862390846115144,0.021113559571339736,0.6648247553363569,0.052840671023731633,1.422536721034824e-4,0,0.999993433870326,0.4037623854434333,0.0256204240587304,TRUE,TRUE,0.16502981868235614,0.5561469436912241,1.0767915381383266,1.0767915381383266,0.0256204240587304,FALSE,Tier 2 Only
ANAPC11,51529,-0.010427499677360676,-0.017925969448181023,-0.016452135019586426,0.45586331090463705,0.04864322833831927,6.472201771456088e-4,0,0.999993433870326,0.39496562603715263,0.04652386642857524,TRUE,TRUE,-0.23983249257929554,-0.5019271445490686,-0.8390588859989078,-0.8390588859989078,0.04652386642857524,FALSE,Not ER binding
ANAPC5,51433,-0.022173644593976593,-0.011033329312632125,-0.010063456456506874,0.02216103963238197,0.03901738607470258,7.420098960524267e-4,0,0.999993433870326,0.3730591215448829,0.048319888419908884,TRUE,TRUE,-0.5099938256614617,-0.3089332207536995,-0.5132362792818506,-0.5132362792818506,0.048319888419908884,FALSE,Not ER binding
ANKRD1,27063,0.017078425766599525,0.03328312870518386,0.030850403160650047,0.3269648718092676,0.07275274345328392,5.528999448221956e-4,0,0.999993433870326,0.4417730718445125,0.04311709446247163,TRUE,TRUE,0.39280379263178905,0.931927603745148,1.5733705611931523,1.5733705611931523,0.04311709446247163,TRUE,Not ER binding
ANKRD39,51239,-0.006571615045011522,-0.019366534913810976,-0.015672508874902853,0.563940995834781,0.010445484633551765,8.904367312915218e-5,0,0.999993433870326,0.29587733005352157,0.021567604364655345,TRUE,TRUE,-0.151147146035265,-0.5422629775867074,-0.7992979526200455,-0.7992979526200455,0.021567604364655345,FALSE,Not ER binding
APOL3,80833,0.03820651484361274,0.038943038316526735,0.024598097416540295,0.09692224233643175,0.0012506369864769688,3.346459025963002e-4,0,0.999993433870326,0.22529953112753642,0.03708502838713385,TRUE,TRUE,0.878749841403093,1.0904050728627486,1.2545029682435551,1.2545029682435551,0.03708502838713385,FALSE,Not ER binding
APOO,79135,-0.0027271799989618747,-0.01845264140163053,-0.013870250034313414,0.8162226940853353,0.015562721137951999,6.150239116204495e-4,0,0.999993433870326,0.3120778471578734,0.04534903939769462,TRUE,TRUE,-0.06272513997612311,-0.5166739592456548,-0.7073827517499841,-0.7073827517499841,0.04534903939769462,FALSE,Tier 1
ARHGAP24,83478,0.044443027422481414,0.028444715338733943,0.023653430916998692,0.005832921909908389,0.002496867633750338,4.776788892748917e-6,0,0.999993433870326,0.24308592394730358,0.006963088424430153,TRUE,TRUE,1.0221896307170726,0.7964520294845504,1.2063249767669333,1.2063249767669333,0.006963088424430153,TRUE,Not ER binding
ARHGAP31,57514,0.007838598587458664,0.02884837617151132,0.024108978610085655,0.7127678532500351,0.013120807917311192,2.262349171795596e-4,0,0.999993433870326,0.3090315589541474,0.03175667911520485,TRUE,TRUE,0.18028776751154926,0.807754532802317,1.2295579091143685,1.2295579091143685,0.03175667911520485,FALSE,Not ER binding
ARHGAP36,158763,-0.05313378688569083,-1.1346517417281744e-4,-0.011037906095946508,0.0013338060147542682,0.9098337925095126,4.494294402011343e-4,0,0.999993433870326,0.9754082660389815,0.04036344972422509,TRUE,TRUE,-1.222077098370889,-0.0031770248768388885,-0.5629332108932719,-0.5629332108932719,0.04036344972422509,FALSE,Not ER binding
ARID4A,5926,0.006314268759666908,0.01771001290989969,0.01404470498386441,0.5567325794427018,0.016892686955992203,2.8755790303598597e-4,0,0.999993433870326,0.31917413466658145,0.03470842205434353,TRUE,TRUE,0.14522818147233887,0.49588036147719133,0.7162799541770849,0.7162799541770849,0.03470842205434353,FALSE,Tier 1
ARRDC4,91947,0.02805842826243429,0.028451619839802395,0.023825013143193373,0.15657153679872668,0.012369911121389684,1.4314841822050733e-4,0,0.999993433870326,0.3013447126726868,0.0256204240587304,TRUE,TRUE,0.6453438500359887,0.796645355514467,1.215075670302862,1.215075670302862,0.0256204240587304,FALSE,Tier 2 Only
