Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ACOT13,55856,-0.014257647674111685,-0.015354101025649469,-0.01089253608185513,0.018641380634613663,0.004868457149423399,2.3057529495531586e-6,0,0.3430140167888582,0.7893765985405743,0.003361078338002489,TRUE,TRUE,-0.2851529534822337,-0.27637381846169046,-0.41391637111049495,-0.41391637111049495,0.003361078338002489,FALSE,Tier 1
ACSL3,2181,-0.03695551941899552,-0.01781212489144547,-0.025843048168741382,0.008724398086116804,0.1730486857769575,2.1857084645044283e-6,0,0.3277069457301207,0.8827245008660393,0.003361078338002489,TRUE,TRUE,-0.7391103883799104,-0.32061824804601846,-0.9820358304121726,-0.9820358304121726,0.003361078338002489,FALSE,Tier 2 Only
ADAP2,55803,0.02783256493625501,0.017651193431010084,0.025880382220362094,0.0037866479783989038,0.06462272715526088,3.3257334974145426e-11,1,0.31934896554015946,0.8545380097814592,6.302264977600558e-7,TRUE,TRUE,0.5566512987251002,0.3177214817581815,0.9834545243737596,0.9834545243737596,6.302264977600558e-7,FALSE,Not ER binding
ALDH9A1,223,-0.017695670723198196,-0.008901573245531166,-0.014142533863155185,0.008558854466195738,0.21831930081933212,6.214839339710574e-7,0,0.32694554436945866,0.8936114405637312,0.002474654097924061,TRUE,TRUE,-0.3539134144639639,-0.16022831841956098,-0.5374162867998971,-0.5374162867998971,0.002474654097924061,FALSE,Not ER binding
ARFGAP3,26286,-0.019334208356440175,-0.011614616991573352,-0.015786656695719593,0.019941161878625935,0.170340531548367,3.213552736235698e-6,0,0.3466884151413785,0.8827245008660393,0.004076203452170852,TRUE,TRUE,-0.3866841671288035,-0.20906310584832033,-0.5998929544373445,-0.5998929544373445,0.004076203452170852,TRUE,Tier 2 Only
C9ORF40,55071,0.007061329529864524,0.021011961001116554,0.013551745551638267,0.33240385644091075,0.006213592971129106,7.727428162320593e-6,0,0.6756124031081725,0.7893765985405743,0.00523255327133366,TRUE,TRUE,0.14122659059729048,0.37821529802009796,0.5149663309622541,0.5149663309622541,0.00523255327133366,FALSE,Not ER binding
CCL3,6348,0.04933594234126138,0.03752680624810437,0.03229230221606699,0.0034667201248940504,0.03655135220959762,4.5720520986989355e-6,0,0.31934896554015946,0.8342413058651696,0.004520887615928683,TRUE,TRUE,0.9867188468252276,0.6754825124658788,1.2271074842105456,1.2271074842105456,0.004520887615928683,FALSE,Not ER binding
CPNE4,131034,-0.02635350826852692,-0.05003171626306383,-0.024801806687636475,0.041386339715033235,3.2219142088881544e-4,5.048201032451255e-6,0,0.3765246066080473,0.6105527425843053,0.004520887615928683,TRUE,TRUE,-0.5270701653705384,-0.900570892735149,-0.942468654130186,-0.942468654130186,0.004520887615928683,TRUE,Not ER binding
CTHRC1,115908,0.033708485633283616,0.010354482120904682,0.033837627479233565,0.07403631356606494,0.5953893595094591,1.3519156858153435e-5,0,0.4249059765087307,0.9516273043282009,0.008834069740069228,TRUE,TRUE,0.6741697126656723,0.1863806781762843,1.2858298442108755,1.2858298442108755,0.008834069740069228,FALSE,Not ER binding
ELMO2,63916,-0.018513731667505147,-0.018174855240650614,-0.01450336435552867,0.00997108595899861,0.008558569545383563,3.1564590724716e-7,0,0.3311794179112791,0.8239895146042656,0.002474654097924061,TRUE,TRUE,-0.3702746333501029,-0.32714739433171103,-0.5511278455100894,-0.5511278455100894,0.002474654097924061,FALSE,Tier 2 Only
