Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
DUSP6,1848,-0.016695962780445803,-0.01926879686264397,-0.017809806152974006,0.0018580139329669797,0.2818936459856601,2.5279157204866894e-7,1,0.08363269365730229,0.9847329544554171,1.2606316553479674e-4,TRUE,TRUE,-0.768014287900507,-0.5587951090166752,-1.3357354614730506,-1.3357354614730506,1.2606316553479674e-4,FALSE,Tier 1
ENTPD1,953,-0.01308481936947058,-0.02792524654113441,-0.015071855242276761,0.0020662198098882014,0.03021025233724469,1.7544611088179856e-8,1,0.08838570067128988,0.9847329544554171,3.0224580011000753e-5,TRUE,TRUE,-0.6019016909956467,-0.8098321496928979,-1.1303891431707571,-1.1303891431707571,3.0224580011000753e-5,FALSE,Tier 2 Only
ADGRG5,221188,-0.015819560125369784,-0.006467560097033698,-0.014713050718035161,3.6999183643952676e-4,0.6420938655505113,1.6998952525308564e-7,1,0.04076363546819205,0.9857094884395164,9.985789337897772e-5,TRUE,TRUE,-0.72769976576701,-0.18755924281397723,-1.103478803852637,-1.103478803852637,9.985789337897772e-5,FALSE,Not ER binding
KL,9365,-0.009828362863017916,-0.03127258680493845,-0.013999878328956415,0.011319313915304998,0.011070944080015391,1.5955188629185913e-8,1,0.1899920271878031,0.9847329544554171,3.0224580011000753e-5,TRUE,TRUE,-0.4521046916988241,-0.9069050173432149,-1.049990874671731,-1.049990874671731,3.0224580011000753e-5,FALSE,Not ER binding
MALL,7851,-0.015618700016120132,-0.019289863606569153,-0.01721801806673118,0.0011593042534993757,0.3132652736762851,1.3939137742848334e-7,1,0.06834757342819323,0.9847329544554171,8.80488867423253e-5,TRUE,TRUE,-0.7184602007415261,-0.5594060445905055,-1.2913513550048386,-1.2913513550048386,8.80488867423253e-5,TRUE,Not ER binding
MSL3P1,151507,-0.01847492218052677,-0.027278116633530254,-0.018552875762618826,5.37007334055364e-7,0.04142159325726112,3.564933211313123e-14,1,0.0016960481633915248,0.9847329544554171,2.251849478479456e-10,TRUE,TRUE,-0.8498464203042313,-0.7910653823723773,-1.391465682196412,-1.391465682196412,2.251849478479456e-10,FALSE,Not ER binding
MST1L,11223,-0.021305483566427266,-0.0014433673114134706,-0.016874947619174616,2.2125723983762934e-5,0.9220591661008306,7.127538838655079e-8,1,0.013147709248815871,0.9971599630236645,5.2486028782035476e-5,TRUE,TRUE,-0.9800522440556543,-0.04185765203099065,-1.2656210714380962,-1.2656210714380962,5.2486028782035476e-5,FALSE,Not ER binding
PGBD5,79605,0.022063117941268865,0.015474129595490525,0.018776740871177817,9.173474657638235e-5,0.33206152344193274,7.20124933157215e-8,1,0.024014913708183906,0.9847329544554171,5.2486028782035476e-5,TRUE,TRUE,1.0149034252983677,0.4487497582692252,1.4082555653383364,1.4082555653383364,5.2486028782035476e-5,FALSE,Tier 1
RANBP17,64901,-0.026351988713439967,-0.010516741172409031,-0.020888772813641262,1.8369214009507778e-10,0.4577673307241539,9.629465570807392e-15,1,3.480966054801724e-6,0.9847329544554171,9.123918628340003e-11,TRUE,TRUE,-1.2121914808182384,-0.3049854939998619,-1.5666579610230946,-1.5666579610230946,9.123918628340003e-11,FALSE,Not ER binding
TMEM154,201799,-0.01966977288638866,-0.015782415491007225,-0.014331215298619493,1.6757179115810641e-6,0.258370277253629,6.528902136674074e-8,1,0.002442681109573936,0.9847329544554171,5.2486028782035476e-5,TRUE,TRUE,-0.9048095527738783,-0.45769004923920953,-1.074841147396462,-1.074841147396462,5.2486028782035476e-5,FALSE,Not ER binding
WISP2,8839,0.02346166092786114,0.044156920292319934,0.020294516315481594,9.050826661001082e-5,0.038139783954864316,2.2585991124115423e-7,1,0.024014913708183906,0.9847329544554171,1.2588368582411392e-4,TRUE,TRUE,1.0792364026816126,1.2805506884772782,1.5220887236611196,1.5220887236611196,1.2588368582411392e-4,TRUE,Tier 1
ZNF518B,85460,-0.01477943574936388,-0.0335926284506615,-0.016400086629586773,3.25434165485174e-9,0.008181817629952542,6.284462698031644e-18,1,3.0834887179720235e-5,0.9847329544554171,1.1909056812769964e-13,TRUE,TRUE,-0.6798540444707385,-0.9741862250691835,-1.230006497219008,-1.230006497219008,1.1909056812769964e-13,FALSE,Not ER binding
