Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
AHR,196,-0.012238573513160043,-0.00415315337112421,-0.013497077924706264,0.0048106107542696805,0.7618364377180915,9.804532933835592e-7,1,0.1277847494371834,0.9878857610998821,2.996708049938459e-4,TRUE,TRUE,-0.562974381605362,-0.12044144776260209,-1.0122808443529698,-1.0122808443529698,2.996708049938459e-4,FALSE,Not ER binding
ALDH1B1,219,0.009837542554176997,0.011186024207713,0.011550105488451605,0.003268078519983414,0.4207432321531974,5.71307817106391e-7,1,0.10732544576966574,0.9847329544554171,2.0426949309747375e-4,TRUE,TRUE,0.4525269574921419,0.32439470202367704,0.8662579116338704,0.8662579116338704,2.0426949309747375e-4,FALSE,Not ER binding
ANGPT1,284,-0.015358034940052546,-0.02409331475979038,-0.014867761239657823,0.001864507970034004,0.08302929088119075,1.0527280697754919e-6,1,0.08372612803825681,0.9847329544554171,3.1648675787094286e-4,TRUE,TRUE,-0.7064696072424171,-0.6987061280339211,-1.1150820929743368,-1.1150820929743368,3.1648675787094286e-4,FALSE,Not ER binding
ANXA1,301,-0.014268969297154398,-0.015878000964729636,-0.018486968986183915,0.009939189305045844,0.4158671414577192,3.4793678994581814e-7,1,0.18079988741037334,0.9847329544554171,1.498500493062103e-4,TRUE,TRUE,-0.6563725876691023,-0.46046202797715946,-1.3865226739637937,-1.3865226739637937,1.498500493062103e-4,FALSE,Not ER binding
APLP2,334,-0.007010310108687133,-0.01674473827632523,-0.008969871135965986,0.0113030339908823,0.06414642714378498,4.2648979479005944e-7,1,0.1899920271878031,0.9847329544554171,1.6274250665909414e-4,TRUE,TRUE,-0.32247426499960813,-0.48559741001343165,-0.6727403351974489,-0.6727403351974489,1.6274250665909414e-4,FALSE,Tier 1
APOA1BP,128240,0.006241301334824921,0.010257869317345495,0.007018037383220555,0.0029595807137138825,0.1172445264455816,1.3022584504379577e-7,1,0.10274897180328137,0.9847329544554171,8.50958539165493e-5,TRUE,TRUE,0.2870998614019464,0.29747821020301934,0.5263528037415416,0.5263528037415416,8.50958539165493e-5,FALSE,Not ER binding
ASB13,79754,0.007864950472340003,0.011242080783217825,0.0065947709952125675,9.83379888649364e-7,0.03205220703463101,1.4765838177012397e-10,1,0.002133530665245414,0.9847329544554171,5.596252669087699e-7,TRUE,TRUE,0.3617877217276401,0.3260203427133169,0.49460782464094255,0.49460782464094255,5.596252669087699e-7,TRUE,Tier 2 Only
RITA1,84934,0.007858584386585307,-6.227589358633733e-4,0.005105996933311169,5.50616568221034e-8,0.8845793664583176,1.644897011422967e-8,1,3.4780613225961985e-4,0.995291731191017,3.0224580011000753e-5,TRUE,TRUE,0.3614948817829241,-0.018060009140037827,0.38294976999833763,0.38294976999833763,3.0224580011000753e-5,FALSE,Not ER binding
C15ORF41,84529,0.0027860686700214342,0.006638225291936458,0.004542945453977239,0.043050935392548506,0.14594487654543115,3.2089019741961524e-7,1,0.3483063216153462,0.9847329544554171,1.471316217476213e-4,TRUE,TRUE,0.12815915882098597,0.1925085334661573,0.34072090904829294,0.34072090904829294,1.471316217476213e-4,FALSE,Not ER binding
HENMT1,113802,-0.012751665350577897,0.0079208949223124,-0.010215061229230656,4.593471824608269e-6,0.42828115897305685,2.6076643476295743e-8,1,0.0051203700633133354,0.9847329544554171,3.276272695234882e-5,TRUE,TRUE,-0.5865766061265832,0.2297059527470596,-0.7661295921922993,-0.7661295921922993,3.276272695234882e-5,FALSE,Not ER binding
CDK1,983,-0.01264797292446378,0.016661623472629908,-0.0047398319128589455,1.180792649160776e-6,0.08021863830098355,0.005940408191976581,1,0.0021803560957886683,0.9847329544554171,0.06337225721197659,TRUE,TRUE,-0.5818067545253339,0.4831870807062673,-0.35548739346442093,-0.5818067545253339,0.0021803560957886683,FALSE,Tier 1
CHKB,1120,-0.004306890142408256,0.005032909928955996,-0.008935847849987199,0.12540233903395626,0.5844597894148207,9.197516287285905e-7,1,0.5178414305281044,0.9857094884395164,2.945626252552787e-4,TRUE,TRUE,-0.19811694655077977,0.14595438793972387,-0.67018858874904,-0.67018858874904,2.945626252552787e-4,FALSE,Tier 1
COG2,22796,0.0035137209940362926,0.0025032594646929853,0.0047426806580453135,0.012789507839576969,0.5835704885041864,1.609545371657194e-7,1,0.1991464039112437,0.9857094884395164,9.838995094485104e-5,TRUE,TRUE,0.16163116572566946,0.07259452447609657,0.3557010493533985,0.3557010493533985,9.838995094485104e-5,TRUE,Tier 1
COPZ2,51226,0.0151009420711586,0.011356454724103014,0.012720755945252318,1.008399594923476e-4,0.33333279056897225,1.7389501221668942e-7,1,0.025230691773760312,0.9847329544554171,9.985789337897772e-5,TRUE,TRUE,0.6946433352732956,0.3293371869989874,0.9540566958939238,0.9540566958939238,9.985789337897772e-5,FALSE,Tier 2 Only
CREB3L1,90993,0.014440107363549714,0.02527491206839724,0.017733229703076257,0.007990232150920162,0.1474807329929329,3.260964703641211e-7,1,0.16422440266804456,0.9847329544554171,1.471316217476213e-4,TRUE,TRUE,0.6642449387232868,0.73297244998352,1.3299922277307192,1.3299922277307192,1.471316217476213e-4,FALSE,Not ER binding
DDIT4L,115265,0.010469319866090888,0.01730761374932938,0.011111222564117233,0.003574645853262749,0.1214778142923425,9.773657887028651e-7,1,0.11104842445791654,0.9847329544554171,2.996708049938459e-4,TRUE,TRUE,0.4815887138401808,0.501920798730552,0.8333416923087924,0.8333416923087924,2.996708049938459e-4,FALSE,Not ER binding
DGKD,8527,-0.013306619649112549,-0.006139814450484889,-0.00828630068808634,2.2622438796739034e-6,0.3712297752525062,9.326521116262123e-7,1,0.0028579681013213643,0.9847329544554171,2.945626252552787e-4,TRUE,TRUE,-0.6121045038591773,-0.17805461906406178,-0.6214725516064755,-0.6214725516064755,2.945626252552787e-4,FALSE,Not ER binding
