Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ADAMTS9,56999,-0.014359611290647958,-0.024621810957923332,-0.015468475276145078,0.019949060367915345,0.21486703979679128,7.963117449303135e-5,0,0.24464359946519423,0.9847329544554171,0.0051474970827503335,TRUE,TRUE,-0.6605421193698061,-0.7140325177797766,-1.160135645710881,-1.160135645710881,0.0051474970827503335,TRUE,Not ER binding
AGR2,10551,-0.020214663197779408,-0.019125770120720777,-0.020225753053881843,0.011941364175343468,0.5009427266076775,1.139775400554643e-4,0,0.19390647054220972,0.9847329544554171,0.00627870460479956,TRUE,TRUE,-0.9298745070978528,-0.5546473335009026,-1.5169314790411381,-1.5169314790411381,0.00627870460479956,TRUE,Tier 2 Only
AHR,196,-0.012238573513160043,-0.00415315337112421,-0.013497077924706264,0.0048106107542696805,0.7618364377180915,9.804532933835592e-7,0,0.1277847494371834,0.9878857610998821,2.996708049938459e-4,TRUE,TRUE,-0.562974381605362,-0.12044144776260209,-1.0122808443529698,-1.0122808443529698,2.996708049938459e-4,FALSE,Not ER binding
AMIGO2,347902,-0.014715232931541852,-0.012507085649330523,-0.01596511120202132,0.0065258171549660736,0.4772737619176234,3.840288627317489e-6,0,0.1504431083778675,0.9847329544554171,7.580569738298586e-4,TRUE,TRUE,-0.6769007148509252,-0.36270548383058515,-1.197383340151599,-1.197383340151599,7.580569738298586e-4,FALSE,Not ER binding
ANGPT1,284,-0.015358034940052546,-0.02409331475979038,-0.014867761239657823,0.001864507970034004,0.08302929088119075,1.0527280697754919e-6,0,0.08372612803825681,0.9847329544554171,3.1648675787094286e-4,TRUE,TRUE,-0.7064696072424171,-0.6987061280339211,-1.1150820929743368,-1.1150820929743368,3.1648675787094286e-4,FALSE,Not ER binding
ANXA1,301,-0.014268969297154398,-0.015878000964729636,-0.018486968986183915,0.009939189305045844,0.4158671414577192,3.4793678994581814e-7,0,0.18079988741037334,0.9847329544554171,1.498500493062103e-4,TRUE,TRUE,-0.6563725876691023,-0.46046202797715946,-1.3865226739637937,-1.3865226739637937,1.498500493062103e-4,FALSE,Not ER binding
APOC1,341,-0.021870412265060053,-0.02801679399832124,-0.022588369783172836,0.012592697608360685,0.3700895121296508,8.074349325649821e-5,0,0.19804911298353012,0.9847329544554171,0.005151815478823708,TRUE,TRUE,-1.0060389641927625,-0.8124870259513159,-1.6941277337379628,-1.6941277337379628,0.005151815478823708,FALSE,Not ER binding
APOE,348,-0.023349671107527604,-0.020935256362450253,-0.02410473169506322,0.008294684340339923,0.48430528050443067,2.3587133578114556e-5,0,0.1673953868471156,0.9847329544554171,0.0024292183766590806,TRUE,TRUE,-1.0740848709462698,-0.6071224345110573,-1.8078548771297416,-1.8078548771297416,0.0024292183766590806,FALSE,Tier 2 Only
AQP5,362,-0.023575676701930556,-0.015551187215293184,-0.024179021813974487,0.004315908731897379,0.5504648759150389,3.832035272982765e-6,0,0.12123188865829365,0.9855734503580865,7.580569738298586e-4,TRUE,TRUE,-1.0844811282888056,-0.45098442924350235,-1.8134266360480866,-1.8134266360480866,7.580569738298586e-4,FALSE,Not ER binding
C8ORF4,56892,-0.021698714082796274,0.0036767621391941997,-0.01831890047359154,0.003650040136492231,0.8697501657971802,8.610320928256235e-5,0,0.11219807689826267,0.9940404757038391,0.005314839791220054,TRUE,TRUE,-0.9981408478086287,0.1066261020366318,-1.3739175355193656,-1.3739175355193656,0.005314839791220054,FALSE,Tier 1
CD8B,926,-0.00976047992586732,0.009977191159207479,-0.015074724541386059,0.10860042482258749,0.5016090713424821,4.058764811567631e-5,0,0.4923392465043141,0.9847329544554171,0.0033882640167051366,TRUE,TRUE,-0.4489820765898967,0.2893385436170169,-1.1306043406039543,-1.1306043406039543,0.0033882640167051366,FALSE,Not ER binding
CILP,8483,0.024011219692307125,0.041981756356643675,0.023141508868577843,0.0016061442097656633,0.1127659516666546,2.864512161097176e-6,0,0.0783141797818761,0.9847329544554171,6.03138949475461e-4,TRUE,TRUE,1.1045161058461277,1.2174709343426666,1.7356131651433382,1.7356131651433382,6.03138949475461e-4,FALSE,Not ER binding
