Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ASB13,79754,0.007768240336225104,0.01580403667239293,0.006852894853015897,3.2110293122934964e-5,0.0428808216987922,1.4009760410199357e-7,1,0.024339602187184704,0.7205406675590501,2.0421919982559832e-4,TRUE,TRUE,0.3573390554663548,0.458317063499395,0.5139671139761922,0.5139671139761922,2.0421919982559832e-4,TRUE,Tier 2 Only
RITA1,84934,0.008529843939053644,0.003864589508523857,0.006030648536636551,8.701261271654843e-8,0.5276978897621396,2.908118169440147e-8,1,0.0013917043741522262,0.8932447531033985,1.1021767862178158e-4,TRUE,TRUE,0.39237282119646766,0.11207309574719185,0.4522986402477413,0.4522986402477413,1.1021767862178158e-4,FALSE,Not ER binding
HENMT1,113802,-0.013035054834106823,-0.011879578397422777,-0.011560164661625443,2.027669125067885e-5,0.29639033497129436,2.4773870944005927e-8,1,0.019526967488976976,0.8051314288569421,1.1021767862178158e-4,TRUE,TRUE,-0.5996125223689138,-0.3445077735252605,-0.8670123496219082,-0.8670123496219082,1.1021767862178158e-4,FALSE,Not ER binding
EYA4,2070,0.02779704462673943,0.01671981333157663,0.023938968696646107,1.1343852885985904e-5,0.5406194061650904,7.602792656802896e-8,1,0.014814748080826366,0.8983500646341847,1.3097538258764987e-4,TRUE,TRUE,1.2786640528300137,0.4848745866157223,1.795422652248458,1.795422652248458,1.3097538258764987e-4,TRUE,Not ER binding
GNPNAT1,64841,-0.008476609746091077,-0.028989898394293237,-0.009798867753410706,6.413535681332151e-4,0.014848890813391743,6.167998255811943e-8,1,0.07596031322577766,0.7205406675590501,1.3097538258764987e-4,TRUE,TRUE,-0.38992404832018956,-0.8407070534345039,-0.734915081505803,-0.734915081505803,1.3097538258764987e-4,FALSE,Not ER binding
HIST1H2BJ,8970,-0.009281699133995005,-3.998710669145397e-4,-0.007520489817469891,1.5804909599854723e-5,0.946429057908589,5.5282912005828954e-8,1,0.01856845337582092,0.990424370158408,1.3097538258764987e-4,TRUE,TRUE,-0.42695816016377025,-0.011596260940521652,-0.5640367363102419,-0.5640367363102419,1.3097538258764987e-4,FALSE,Not ER binding
IL20RA,53832,0.014386585919419484,0.011790161531649638,0.013968824254268127,1.0915337304614385e-4,0.41807393803898274,4.535823670620421e-8,1,0.03586882013063897,0.8535473390028229,1.3097538258764987e-4,TRUE,TRUE,0.6617829522932962,0.3419146844178395,1.0476618190701095,1.0476618190701095,1.3097538258764987e-4,FALSE,Not ER binding
KCNK10,54207,-0.010127101584020193,-0.0028310798557053224,-0.007367966878067588,4.573586779755824e-6,0.5027965588228243,7.283248470544024e-8,1,0.00787904267967026,0.8855947623474066,1.3097538258764987e-4,TRUE,TRUE,-0.46584667286492887,-0.08210131581545435,-0.5525975158550691,-0.5525975158550691,1.3097538258764987e-4,FALSE,Not ER binding
MSL3P1,151507,-0.020301430650109673,-0.029839623326830277,-0.02038633696073277,9.146814159133334e-7,0.052006761848857726,5.518624728992837e-13,1,0.0034666425663115335,0.7205406675590501,5.228896930720713e-9,TRUE,TRUE,-0.933865809905045,-0.865349076478078,-1.5289752720549576,-1.5289752720549576,5.228896930720713e-9,FALSE,Not ER binding
MST1L,11223,-0.019185317552290745,0.001997846360009712,-0.0192838286552471,7.188317540712354e-4,0.9093432425689194,2.237378050113877e-7,1,0.07958276496500039,0.9826482856459527,2.4940184735092923e-4,TRUE,TRUE,-0.8825246074053743,0.057937544440281645,-1.4462871491435325,-1.4462871491435325,2.4940184735092923e-4,FALSE,Not ER binding
