MB09_VarName,Illumina_ProbeID
bcl2_pp_v1n,ILMN_1801119
birc5_pp_v1n,ILMN_1803124
cd163_c_v1n,ILMN_1733270
ck5_c2v1n,ILMN_1733270
ck56_c2v1n,NA
ckit_c_v1n,ILMN_2229379
cyclind1_pp_v1n,ILMN_1688480
ecad_pp_v1n,ILMN_1770940
egfr_tsipp_v1n,ILMN_1798975
er_pp_v1n,ILMN_1678535
ezh2_pp_v1n,ILMN_2364529
foxa1_pp_v1n,ILMN_1766650
h3k27me3_pp_v1n,NA
her2_v1n,ILMN_2352131
inpp4b_c_v1.ppn,ILMN_2198878
ki67_pp_v1n,ILMN_1734827
nestin_tsipp_v1n,ILMN_1738147
p16_qsipp_v1n,ILMN_1717714
tp53_pp_v1n,ILMN_1779356
pr_c_v1n,ILMN_1811014
