Gene,FC,Source
AHR,2,Thyroid
ALDH1B1,2,Thyroid
ANXA1,2,Thyroid
ATP11A,2,Thyroid
C2CD4C,2,Thyroid
CACNB1,2,Thyroid
COPZ2,2,Thyroid
CREB3L1,2,Thyroid
DNALI1,2,Thyroid
DPP10,2,Thyroid
EMILIN2,2,Thyroid
EPN3,2,Thyroid
EYA4,2,Thyroid
TMEM255A,2,Thyroid
FCRLB,2,Thyroid
FOLH1,2,Thyroid
GBP1,2,Thyroid
GBP3,2,Thyroid
ADGRG5,2,Thyroid
HIST1H2BD,2,Thyroid
IKZF2,2,Thyroid
IL20RA,2,Thyroid
INHBB,2,Thyroid
KL,2,Thyroid
LTBP4,2,Thyroid
MALL,2,Thyroid
MEIS2,2,Thyroid
MSL3P1,2,Thyroid
MST1L,2,Thyroid
PCDHA3,2,Thyroid
PGBD5,2,Thyroid
PPIF,2,Thyroid
RAG1,2,Thyroid
RANBP17,2,Thyroid
TIPARP,2,Thyroid
TMEM154,2,Thyroid
WISP2,2,Thyroid
YPEL4,2,Thyroid
ZCCHC12,2,Thyroid
ZNF518B,2,Thyroid
C1ORF61,2,Lung
NDNF,2,Lung
CREBRF,2,Lung
CYP7B1,2,Lung
FMO3,2,Lung
FRZB,2,Lung
PACS1,2,Lung
PKD1L2,2,Lung
SPRED1,2,Lung
ABCA3,2,Breast_MB
ACOX2,2,Breast_MB
ACTG2,2,Breast_MB
ADAMDEC1,2,Breast_MB
ADD3,2,Breast_MB
ADIRF,2,Breast_MB
ADM,2,Breast_MB
AFF3,2,Breast_MB
AGR2,2,Breast_MB
AGR3,2,Breast_MB
AGTR1,2,Breast_MB
ALDH1A3,2,Breast_MB
ANKS1B,2,Breast_MB
ANXA1,2,Breast_MB
ANXA9,2,Breast_MB
AR,2,Breast_MB
ARMT1,2,Breast_MB
ARNT2,2,Breast_MB
ARSG,2,Breast_MB
ART3,2,Breast_MB
ASS1,2,Breast_MB
AZGP1,2,Breast_MB
BAMBI,2,Breast_MB
BBOX1,2,Breast_MB
BCAS1,2,Breast_MB
BCAS4,2,Breast_MB
BCL11A,2,Breast_MB
BCL2,2,Breast_MB
BMPR1B,2,Breast_MB
BNIPL,2,Breast_MB
BTG3,2,Breast_MB
C16ORF92,2,Breast_MB
C1ORF106,2,Breast_MB
C1ORF64,2,Breast_MB
C1S,2,Breast_MB
C2ORF40,2,Breast_MB
C2ORF82,2,Breast_MB
C5ORF46,2,Breast_MB
C9ORF116,2,Breast_MB
C9ORF152,2,Breast_MB
CA12,2,Breast_MB
CACNA1H,2,Breast_MB
CACNA2D2,2,Breast_MB
CALB2,2,Breast_MB
CALD1,2,Breast_MB
CALML3,2,Breast_MB
CALML5,2,Breast_MB
CAPN13,2,Breast_MB
CAPN8,2,Breast_MB
CBX2,2,Breast_MB
CCDC170,2,Breast_MB
CCL19,2,Breast_MB
CCL2,2,Breast_MB
CCL21,2,Breast_MB
CCL5,2,Breast_MB
CCND1,2,Breast_MB
CD247,2,Breast_MB
CD3D,2,Breast_MB
CD52,2,Breast_MB
CD79A,2,Breast_MB
CD79B,2,Breast_MB
CDC20,2,Breast_MB
CDCA7,2,Breast_MB
CDH3,2,Breast_MB
CDK6,2,Breast_MB
CEACAM6,2,Breast_MB
CERS6,2,Breast_MB
CFB,2,Breast_MB
CGN,2,Breast_MB
CLDN8,2,Breast_MB
CLEC3A,2,Breast_MB
CLSTN2,2,Breast_MB
CMBL,2,Breast_MB
CMTM7,2,Breast_MB
COL17A1,2,Breast_MB
CPB1,2,Breast_MB
CRABP2,2,Breast_MB
CRIP1,2,Breast_MB
CRYAB,2,Breast_MB
CSAD,2,Breast_MB
CSN3,2,Breast_MB
CSRP2,2,Breast_MB
CST5,2,Breast_MB
CX3CL1,2,Breast_MB
CXCL10,2,Breast_MB
CXCL13,2,Breast_MB
CXCL8,2,Breast_MB
CXCL9,2,Breast_MB
CYBRD1,2,Breast_MB
CYP1B1,2,Breast_MB
