Gene,FC,Source
ACOT13,1.25,Prostate
ACSL3,1.25,Prostate
ADAP2,1.25,Prostate
ALDH9A1,1.25,Prostate
ARFGAP3,1.25,Prostate
C9ORF40,1.25,Prostate
CCL3,1.25,Prostate
CPNE4,1.25,Prostate
CTHRC1,1.25,Prostate
ELMO2,1.25,Prostate
FCGR1A,1.25,Prostate
GATAD2A,1.25,Prostate
HLX,1.25,Prostate
HMGA1,1.25,Prostate
HMGB2,1.25,Prostate
KCNS1,1.25,Prostate
KIAA1841,1.25,Prostate
MCM5,1.25,Prostate
MNX1,1.25,Prostate
MYCL,1.25,Prostate
PEX13,1.25,Prostate
POC1A,1.25,Prostate
RFPL2,1.25,Prostate
SLC10A5,1.25,Prostate
SLC15A1,1.25,Prostate
SNX8,1.25,Prostate
STK39,1.25,Prostate
TDP2,1.25,Prostate
VSIG10L,1.25,Prostate
ARHGAP24,1.25,Lung
C16ORF91,1.25,Lung
HILPDA,1.25,Lung
CBS,1.25,Lung
CDC34,1.25,Lung
EIF4EBP1,1.25,Lung
FGD4,1.25,Lung
GPR15,1.25,Lung
HIST3H2A,1.25,Lung
HSD17B1,1.25,Lung
IQGAP2,1.25,Lung
JMJD6,1.25,Lung
LSM7,1.25,Lung
MAST1,1.25,Lung
NRTN,1.25,Lung
NUMB,1.25,Lung
PKHD1,1.25,Lung
PREB,1.25,Lung
PSEN1,1.25,Lung
RPS6KB2,1.25,Lung
TGFBR2,1.25,Lung
THOP1,1.25,Lung
TIMM44,1.25,Lung
TMEM198,1.25,Lung
ANTXR1,1.25,Kidney
CCDC50,1.25,Kidney
NDUFAF2,1.25,Kidney
NEFH,1.25,Kidney
PALLD,1.25,Kidney
PODN,1.25,Kidney
RANBP17,1.25,Kidney
RFPL1S,1.25,Kidney
WFDC1,1.25,Kidney
