Gene,FC,Source
ABCA1,1.25,Thyroid
ABI2,1.25,Thyroid
ACAD8,1.25,Thyroid
ACADSB,1.25,Thyroid
ADAMTS9,1.25,Thyroid
AFG3L2,1.25,Thyroid
AGR2,1.25,Thyroid
AHR,1.25,Thyroid
AIMP2,1.25,Thyroid
AKNA,1.25,Thyroid
ALDH1B1,1.25,Thyroid
ALDOA,1.25,Thyroid
AMIGO2,1.25,Thyroid
ANGPT1,1.25,Thyroid
ANO10,1.25,Thyroid
ANXA1,1.25,Thyroid
APLP2,1.25,Thyroid
APOA1BP,1.25,Thyroid
APOC1,1.25,Thyroid
APOE,1.25,Thyroid
APOL6,1.25,Thyroid
AQP5,1.25,Thyroid
ARTN,1.25,Thyroid
ASB13,1.25,Thyroid
ASGR1,1.25,Thyroid
ATF7IP2,1.25,Thyroid
ATP11A,1.25,Thyroid
ATP13A4,1.25,Thyroid
ATP6V0E2,1.25,Thyroid
B3GNT7,1.25,Thyroid
BACE1,1.25,Thyroid
BCKDHA,1.25,Thyroid
BDH1,1.25,Thyroid
BIRC2,1.25,Thyroid
BLVRB,1.25,Thyroid
BMPR1B,1.25,Thyroid
BPHL,1.25,Thyroid
FUOM,1.25,Thyroid
VSTM4,1.25,Thyroid
C11ORF70,1.25,Thyroid
C11ORF95,1.25,Thyroid
RITA1,1.25,Thyroid
LACC1,1.25,Thyroid
C15ORF41,1.25,Thyroid
CDIP1,1.25,Thyroid
C1QL3,1.25,Thyroid
HENMT1,1.25,Thyroid
C3ORF18,1.25,Thyroid
PQLC2L,1.25,Thyroid
C4ORF19,1.25,Thyroid
C6ORF136,1.25,Thyroid
MLIP,1.25,Thyroid
TMEM243,1.25,Thyroid
C8ORF4,1.25,Thyroid
THEM6,1.25,Thyroid
CA5B,1.25,Thyroid
CAB39,1.25,Thyroid
CACNB1,1.25,Thyroid
CAND2,1.25,Thyroid
CASP10,1.25,Thyroid
CASP8,1.25,Thyroid
CASP9,1.25,Thyroid
CC2D2B,1.25,Thyroid
CCDC113,1.25,Thyroid
CCDC148,1.25,Thyroid
CCDC51,1.25,Thyroid
CCL28,1.25,Thyroid
CCNO,1.25,Thyroid
CD200,1.25,Thyroid
CD47,1.25,Thyroid
CD8B,1.25,Thyroid
ADGRE5,1.25,Thyroid
CDK1,1.25,Thyroid
CNTRL,1.25,Thyroid
CERCAM,1.25,Thyroid
CHCHD6,1.25,Thyroid
CHIC2,1.25,Thyroid
CHKB,1.25,Thyroid
CHORDC1,1.25,Thyroid
CHST2,1.25,Thyroid
CILP,1.25,Thyroid
CLDN1,1.25,Thyroid
CLEC9A,1.25,Thyroid
CLK1,1.25,Thyroid
CLSTN2,1.25,Thyroid
COG2,1.25,Thyroid
COPZ2,1.25,Thyroid
CREB3L1,1.25,Thyroid
CUBN,1.25,Thyroid
CYB5R1,1.25,Thyroid
CYP26A1,1.25,Thyroid
CYSLTR2,1.25,Thyroid
DAB2IP,1.25,Thyroid
DACT3,1.25,Thyroid
DDIT4L,1.25,Thyroid
DGKD,1.25,Thyroid
DNAJA1,1.25,Thyroid
DNALI1,1.25,Thyroid
DPP10,1.25,Thyroid
DPP4,1.25,Thyroid
DUS4L,1.25,Thyroid
DUSP6,1.25,Thyroid
EDA2R,1.25,Thyroid
EFHD2,1.25,Thyroid
EIF4E3,1.25,Thyroid
EMILIN2,1.25,Thyroid
ENO2,1.25,Thyroid
ENTPD1,1.25,Thyroid
EPN3,1.25,Thyroid
EPS8,1.25,Thyroid
EPSTI1,1.25,Thyroid
ERCC2,1.25,Thyroid
ERRFI1,1.25,Thyroid
ETS1,1.25,Thyroid
EYA4,1.25,Thyroid
FAM101A,1.25,Thyroid
FAM111A,1.25,Thyroid
PCED1B,1.25,Thyroid
METTL21B,1.25,Thyroid
