Entrez ID	Symbol 
1	A1BG
10005	ACOT8
100101467	ZSCAN30
100113391	SNORD126
100124533	SCARNA27
100124534	SNORA84
100126338	MIR937
100126346	MIR190B
100126791	EGOT
100128023	DPPA2P3
100128191	TMPO-AS1
100128731	OST4
100128788	SRRM2-AS1
100129148	LOC100129148
100129424	RPL19P12
100129482	ZNF37BP
100129722	STPG3-AS1
100129842	ZNF737
100129858	SCOC-AS1
100129917	LOC100129917
100129931	LOC100129931
100129961	CCNT2-AS1
100130075	LOC100130075
100130264	LOC100130264
100130370	LOC100130370
100130476	LOC100130476
100130581	LINC00910
100130691	LOC100130691
100130700	TP53TG3HP
100130855	USP3-AS1
100131096	TNRC6C-AS1
100131187	TSTD1
100131193	CCDC183-AS1
100131208	SNAP25-AS1
100131257	LOC100131257
100131434	LINC00893
100131551	LINC00887
100131564	CCDC18-AS1
100131626	LOC100131626
100132774	KDM4A-AS1
100133286	LOC100133286
100133315	LOC100133315
100133669	LY6E-DT
100144748	KLLN
100151684	RNU6ATAC
100188947	HECTD2-AS1
100188949	LINC00426
100191040	C2CD4D
100216001	LINC00704
100216545	KMT2E-AS1
100216546	LINC01004
100233209	PCED1B-AS1
100271702	LINC00940
100271722	LINC00899
100271836	SMG1P3
100287227	TIPARP-AS1
100287284	MANSC4
100287944	LOC100287944
100288122	LDLRAD4-AS1
100288181	LOC100288181
100288428	LMCD1-AS1
100288748	LOC100288748
100288911	LOC100288911
100289092	ATP2A1-AS1
100289341	MAN1B1-AS1
100289373	UBAC2-AS1
100289410	MCF2L-AS1
100289635	ZNF605
100294362	LOC100294362
100302137	MIR1914
100302149	MIR1249
100302191	MIR548I4
100302192	MIR548F1
100302202	MIR1266
100302211	MIR1203
100302220	MIR1293
100302224	MIR2110
100302256	MIR1180
100302261	MIR1910
100302263	MIR1908
100302274	MIR1178
100302279	MIR1262
100302283	MIR1227
100302736	TMED7-TICAM2
100302743	SNORA80B
100313841	MIR548Q
100313843	MIR711
100313938	MIR548G
100316904	SAP25
100379224	LOC100379224
100422737	LINC02532
100422824	MIR3128
100422883	MIR4325
100422889	MIR3194
100422908	MIR3129
100422971	MIR4312
100422981	MIR3173
100422990	MIR3134
100423028	MIR4254
10044	SH2D3C
100499177	THAP9-AS1
100499467	LINC00673
100500811	MIR3621
100500833	MIR3653
100500845	MIR642B
100500849	MIR3916
100500853	MIR3605
100500854	MIR3671
100500857	MIR3939
100500865	MIR3936
100500888	MIR3940
100500895	MIR548AA2
100500907	MIR3150B
100500908	MIR3613
100500914	MIR3610
100500916	MIR3180-5
100505495	PCAT19
100505545	LINC01095
100505641	FGD5-AS1
100505666	DCST1-AS1
100505676	RRS1-AS1
100505718	LINC01592
100505845	ROPN1L-AS1
100505933	ADD3-AS1
100506012	PPP5D1
100506023	LOC100506023
100506033	PTOV1-AS1
100506211	MIR210HG
100506229	LINC01093
100506462	SRD5A3-AS1
100506469	TMEM147-AS1
100506499	NA
100506548	LOC100506548
100506581	C16orf95
100506599	PPP1R26-AS1
100506660	DDX11-AS1
100506668	NRAV
100506686	IQCH-AS1
100506713	ALOX12-AS1
100506714	NUP50-AS1
100506730	LOC100506730
100506746	AFF1-AS1
100506795	LINC01354
100507140	LINC01792
100507250	LOC100507250
100507501	LINC01569
100507524	ARHGEF26-AS1
100507567	RAB11B-AS1
100507582	BHLHE40-AS1
100526771	SMIM35
100526783	C15orf38-AP3S2
100526820	CAHM
100526837	EEF1E1-BLOC1S5
100528021	ST20-MTHFS
100528030	POC1B-GALNT4
100528032	KLRC4-KLRK1
100528064	NEDD8-MDP1
100529144	CORO7-PAM16
100529211	TMEM256-PLSCR3
100529239	RPS10-NUDT3
100529240	ZNF816-ZNF321P
100532726	NDUFC2-KCTD14
100533106	ZHX1-C8orf76
100533182	SEC24B-AS1
100533184	ARHGAP19-SLIT1
100533970	P2RX5-TAX1BP3
100533975	SLMO2-ATP5E
100534595	HNRNPUL2-BSCL2
10056	FARSB
10057	ABCC5
10061	ABCF2
100616112	MIR4793
100616115	MIR4469
100616120	MIR4695
100616125	MIR4731
100616159	MIR4779
100616163	MIR4530
100616169	MIR378D2
100616203	MIR4734
100616211	MIR4709
100616220	MIR4736
100616225	MIR4756
100616235	MIR4457
100616282	MIR4738
100616283	MIR4766
100616318	MIR4664
100616323	MIR4482
100616334	MIR4790
100616358	MIR4800
100616378	MIR4784
100616387	MIR3064
100616408	MIR5047
100616469	MIR4429
100616472	MIR4776-2
100616474	MIR4715
100616668	TPTE2P5
100628560	MIR3155B
10063	COX17
100630918	PARTICL
100652730	LINC00659
100652758	LOC100652758
100652772	NNT-AS1
10067	SCAMP3
10069	RWDD2B
100750325	RCAN3AS
100847022	MIR5093
100847049	MIR4999
100859921	LINC00536
100861555	LINC00565
100873065	PTCHD1-AS
100873770	RNU6-66P
100874042	HM13-AS1
100874123	ZNRF3-AS1
100874179	LINC00457
100874185	FRMD6-AS2
100874194	CLDN10-AS1
100874203	COL4A2-AS1
10089	KCNK7
1009	CDH11
10092	ARPC5
10098	TSPAN5
100996939	PYURF
1010	CDH12
10106	CTDSP2
101060200	ZNF891
10121	ACTR1A
10126	DNAL4
10128	LRPPRC
10130	PDIA6
10134	BCAP31
10135	NAMPT
10138	YAF2
10139	ARFRP1
10140	TOB1
10156	RASA4
10158	PDZK1IP1
10162	LPCAT3
10165	SLC25A13
10172	ZNF256
10175	CNIH1
10188	TNK2
1019	CDK4
10190	TXNDC9
10198	MPHOSPH9
102	ADAM10
1020	CDK5
10200	MPHOSPH6
1021	CDK6
10210	TOPORS
10212	DDX39A
10224	ZNF443
10236	HNRNPR
10237	SLC35B1
10239	AP3S2
10240	MRPS31
10253	SPRY2
10254	STAM2
10257	ABCC4
10260	DENND4A
10263	CDK2AP2
10270	AKAP8
1028	CDKN1C
10280	SIGMAR1
10281	DSCR4
10294	DNAJA2
10311	DSCR3
10318	TNIP1
10321	CRISP3
10328	EMC8
10330	CNPY2
10333	TLR6
10335	MRVI1
10369	CACNG2
10370	CITED2
10388	SYCP2
1039	CDR2
10397	NDRG1
10411	RAPGEF3
10419	PRMT5
10420	TESK2
10421	CD2BP2
10422	UBAC1
10424	PGRMC2
10428	CFDP1
10443	N4BP2L2
10447	FAM3C
10451	VAV3
10466	COG5
10469	TIMM44
10476	ATP5H
10478	SLC25A17
10490	VTI1B
10492	SYNCRIP
10494	STK25
10499	NCOA2
105	ADARB2
10500	SEMA6C
10512	SEMA3C
10516	FBLN5
1052	CEBPD
10525	HYOU1
10529	NEBL
1053	CEBPE
10548	TM9SF1
10551	AGR2
10555	AGPAT2
10560	SLC19A2
10565	ARFGEF1
10566	AKAP3
10577	NPC2
10588	MTHFS
10591	DNPH1
10608	MXD4
10610	ST6GALNAC2
10623	POLR3C
10625	IVNS1ABP
10626	TRIM16
10633	RASL10A
10637	LEFTY1
10641	NPRL2
10643	IGF2BP3
10645	CAMKK2
10661	KLF1
10672	GNA13
10699	CORIN
1070	CETN3
10712	FAM189B
10717	AP4B1
1072	CFL1
10720	UGT2B11
10723	SLC12A7
10724	MGEA5
10736	SIX2
10755	GIPC1
10758	TRAF3IP2
10765	KDM5B
10766	TOB2
10767	HBS1L
10799	RPP40
10800	CYSLTR1
10808	HSPH1
10809	STARD10
10815	CPLX1
10816	SPINT3
10817	FRS3
10826	FAXDC2
10844	TUBGCP2
10845	CLPX
10848	PPP1R13L
10899	JTB
10902	BRD8
10907	TXNL4A
10921	RNPS1
10922	FASTK
10938	EHD1
10951	CBX1
10960	LMAN2
10966	RAB40B
10969	EBNA1BP2
10971	YWHAQ
10983	CCNI
10984	KCNQ1OT1
10985	GCN1
10989	IMMT
10994	ILVBL
1101	CHAD
11014	KDELR2
11016	ATF7
11018	TMED1
1102	RCBTB2
11020	IFT27
11022	TDRKH
11041	B4GAT1
1105	CHD1
11067	DEPP1
11070	TMEM115
11077	HSF2BP
1108	CHD4
11083	DIDO1
11108	PRDM4
11112	HIBADH
11113	CIT
1112	FOXN3
11122	PTPRT
11124	FAF1
11126	CD160
11128	POLR3A
11133	KPTN
11138	TBC1D8
11152	WDR45
11161	ERG28
11164	NUDT5
11165	NUDT3
11176	BAZ2A
1118	CHIT1
11181	TREH
11186	RASSF1
1119	CHKA
1120	CHKB
11216	AKAP10
11232	POLG2
