GeneName,IHCName,refseqID
AEBP2,AEBP2,NM_001114176
AEBP2,AEBP2,NM_001267043
AEBP2,AEBP2,NM_153207
AKT1,AKT1,NM_001014431
AKT1,AKT1,NM_001014432
AKT1,AKT1,NM_005163
AKT2,AKT2,NM_001243027
AKT2,AKT2,NM_001243028
AKT2,AKT2,NM_001626
AKT3,AKT3,NM_001206729
AKT3,AKT3,NM_005465
AKT3,AKT3,NM_181690
APC,APC,NM_000038
APC,APC,NM_001127510
APC,APC,NM_001127511
AR,AR,NM_000044
AR,AR,NM_001011645
ARID1A,ARID1A,NM_006015
ARID1A,ARID1A,NM_139135
ARID1A,ARID1A,NM_018450
ARID1B,ARID1B,NM_017519
ARID1B,ARID1B,NM_020732
ARNT,HIF1beta/ARNT,NM_001197325
ARNT,HIF1beta/ARNT,NM_001286035
ARNT,HIF1beta/ARNT,NM_001286036
ARNT,HIF1beta/ARNT,NM_001668
ARNT,HIF1beta/ARNT,NM_178427
ARNT,HIF1beta/ARNT,NM_178426
PYDC1,PYDC1/ASC2,NM_152901
NCOA6,NCOA6/ASC2,NM_001242539
NCOA6,NCOA6/ASC2,NM_014071
ASH2L,ASH2L,NM_001105214
ASH2L,ASH2L,NM_001261832
ASH2L,ASH2L,NM_001282272
ASH2L,ASH2L,NM_004674
ASXL1,ASXL1,NM_001164603
ASXL1,ASXL1,NM_015338
ASXL2,ASXL2,NM_018263
ASXL3,ASXL3,NM_030632
ATM,ATM,NM_000051
ATM,ATM,NM_138292
ATM,ATM,NM_138293
ATR,ATR,NM_001184
AXIN1,AXIN1,NM_003502
AXIN1,AXIN1,NM_181050
BCL2,Bcl2,NM_000633
BCL2,Bcl2,NM_000657
BCL3,Bcl-3,NM_005178
BIRC5,Survivin,NM_001012270
BIRC5,Survivin,NM_001012271
BIRC5,Survivin,NM_001168
BMI1,PCGF4/BMI1,NM_005180
BMX,BMX,NM_001721
BMX,BMX,NM_203281
BRCA1,BRCA1,NM_007294
BRCA1,BRCA1,NM_007297
BRCA1,BRCA1,NM_007298
BRCA1,BRCA1,NM_007299
BRCA1,BRCA1,NM_007300
BRCA1,BRCA1,NM_007295
BRCA1,BRCA1,NM_007296
BRCA1,BRCA1,NM_007301
BRCA1,BRCA1,NM_007302
BRCA1,BRCA1,NM_007303
BRCA1,BRCA1,NM_007305
BRCA1,BRCA1,NM_007306
CA9,CA9,NM_001216
CD163,cd163,NM_203416
CD163,cd163,NM_004244
CBX1,CBX1,NM_001127228
CBX1,CBX1,NM_006807
CBX2,CBX2,NM_005189
CBX2,CBX2,NM_032647
CBX4,CBX4,NM_003655
CBX6,CBX6,NM_014292
CBX7,CBX7,NM_175709
CBX8,CBX8,NM_020649
CCNA2,Cyclin A2,NM_001237
CCNB1,Cyclin B1,NM_031966
CCND1,Cyclin D1,NM_053056
CCNE1,Cyclin E1,NM_001238
CCNE1,Cyclin E1,NM_057182
CD44,CD44,NM_000610
CD44,CD44,NM_001001389
CD44,CD44,NM_001001390
CD44,CD44,NM_001001391
CD44,CD44,NM_001001392
CD44,CD44,NM_001202555
CD44,CD44,NM_001202556
CD44,CD44,NM_001202557
CDC25C,CDC25(C),NM_001287582
CDC25C,CDC25(C),NM_001287583
CDC25C,CDC25(C),NM_001790
CDC25C,CDC25(C),NM_022809
CDH1,E-Cadherin,NM_004360
CDH3,P-Cadherin,NM_001793
CDK1,CDK1/CDC2,NM_001170406
CDK1,CDK1/CDC2,NM_001170407
CDK1,CDK1/CDC2,NM_001786
CDK1,CDK1/CDC2,NM_033379
CDK1,CDK1/CDC2,NM_001130829
CDK2,CDK2,NM_001290230
CDK2,CDK2,NM_001798
CDK2,CDK2,NM_052827
CDK4,CDK4,NM_000075
CDK4,CDK4,NM_052984
CDK6,CDK6,NM_001145306
CDK6,CDK6,NM_001259
CDK7,CDK7,NM_001799
CDKN1A,p21,NM_000389
CDKN1A,p21,NM_001220777
CDKN1A,p21,NM_001220778
CDKN1A,p21,NM_078467
CDKN1B,p27KIP1,NM_004064
CDKN1C,p57KIP2,NM_000076
CDKN1C,p57KIP2,NM_001122630
CDKN1C,p57KIP2,NM_001122631
CDKN2A,p16INK4A,NM_000077
CDKN2A,p16INK4A,NM_001195132
CDKN2A,p16INK4A,NM_058195
CDKN2A,p16INK4A,NM_058197
CDKN2A,p16INK4A,NM_058196
CDKN2B,p15INK4A/p14INK4A,NM_004936
CDKN2B,p15INK4A/p14INK4A,NM_078487
