genes,0.05,0.01,0.001,0.0001
bcl2_c_v2.ppnc,TRUE,TRUE,FALSE,FALSE
ca9_b0v123_v1n,TRUE,FALSE,FALSE,FALSE
ck56_v1nc,TRUE,TRUE,TRUE,FALSE
cldn3_v1nc,TRUE,TRUE,TRUE,FALSE
cryab_b0v12_v1.1n,TRUE,FALSE,FALSE,FALSE
cycline_v1.1.ppn,TRUE,TRUE,FALSE,FALSE
ecad_v1nc,TRUE,TRUE,FALSE,FALSE
egfr_v1nc,FALSE,FALSE,FALSE,FALSE
ephb4_v1.1nc,FALSE,FALSE,FALSE,FALSE
er_v2nc,FALSE,FALSE,FALSE,FALSE
er_dcc_v1n,TRUE,TRUE,TRUE,TRUE
ezh2_v1.ppnc,TRUE,TRUE,TRUE,TRUE
foxa1_v1.ppnc,TRUE,TRUE,TRUE,TRUE
gata3_v1nc,FALSE,FALSE,FALSE,FALSE
h3k27me3_v1.1.ppnc,TRUE,TRUE,TRUE,TRUE
her2_v2nc,TRUE,FALSE,FALSE,FALSE
her3_v1.1nc,TRUE,FALSE,FALSE,FALSE
her4_v1nc,TRUE,TRUE,FALSE,FALSE
hsp27_v1nc,FALSE,FALSE,FALSE,FALSE
igf1r_v2.0.1.ppn,FALSE,FALSE,FALSE,FALSE
igfbp2_v1nc,TRUE,TRUE,FALSE,FALSE
inpp4b_c_v1.ppn,TRUE,TRUE,TRUE,FALSE
ki67_c_v1.6nc,TRUE,TRUE,TRUE,TRUE
kit_v1nc,FALSE,FALSE,FALSE,FALSE
krt5_v1nc,TRUE,TRUE,TRUE,TRUE
ku7080_c_v1nc,FALSE,FALSE,FALSE,FALSE
mdm2_v1nc,FALSE,FALSE,FALSE,FALSE
nestin_v1nc,TRUE,TRUE,TRUE,TRUE
p16_c1v1nc,TRUE,TRUE,TRUE,TRUE
p27_v1nc,FALSE,FALSE,FALSE,FALSE
p53_c_v1.1.1.pnnc,TRUE,TRUE,FALSE,FALSE
pcad_v1.1.ppnc,TRUE,TRUE,TRUE,TRUE
pgp_v1nc,TRUE,FALSE,FALSE,FALSE
pipki_v1nc,TRUE,FALSE,FALSE,FALSE
plau_c1v1,TRUE,FALSE,FALSE,FALSE
podxl_v1nc,TRUE,TRUE,TRUE,TRUE
pr_v3nc,FALSE,FALSE,FALSE,FALSE
psf_c_v1nc,FALSE,FALSE,FALSE,FALSE
pten_v1nc,FALSE,FALSE,FALSE,FALSE
ret_v1nc,FALSE,FALSE,FALSE,FALSE
skp2_v1nc,TRUE,TRUE,FALSE,FALSE
trim29_v1nc,TRUE,TRUE,FALSE,FALSE
yb1_v1.2nc,TRUE,TRUE,FALSE,FALSE
