genes,0.05,0.01,0.001,0.0001
bcl2_c_v2.ppnc,TRUE,TRUE,TRUE,TRUE
ca9_b0v123_v1n,TRUE,TRUE,TRUE,TRUE
ck56_v1nc,TRUE,TRUE,TRUE,TRUE
cldn3_v1nc,TRUE,TRUE,TRUE,FALSE
cryab_b0v12_v1.1n,TRUE,TRUE,TRUE,TRUE
cycline_v1.1.ppn,TRUE,TRUE,TRUE,TRUE
ecad_v1nc,TRUE,FALSE,FALSE,FALSE
egfr_v1nc,TRUE,TRUE,TRUE,TRUE
ephb4_v1.1nc,TRUE,TRUE,TRUE,FALSE
er_v2nc,TRUE,TRUE,TRUE,TRUE
er_dcc_v1n,TRUE,TRUE,TRUE,TRUE
ezh2_v1.ppnc,TRUE,TRUE,TRUE,TRUE
foxa1_v1.ppnc,TRUE,TRUE,TRUE,TRUE
gata3_v1nc,TRUE,TRUE,TRUE,FALSE
h3k27me3_v1.1.ppnc,TRUE,TRUE,TRUE,TRUE
her2_v2nc,TRUE,FALSE,FALSE,FALSE
her3_v1.1nc,TRUE,TRUE,TRUE,FALSE
her4_v1nc,TRUE,TRUE,TRUE,TRUE
hsp27_v1nc,FALSE,FALSE,FALSE,FALSE
igf1r_v2.0.1.ppn,TRUE,TRUE,TRUE,TRUE
igfbp2_v1nc,TRUE,TRUE,TRUE,TRUE
inpp4b_c_v1.ppn,TRUE,TRUE,TRUE,TRUE
ki67_c_v1.6nc,TRUE,TRUE,TRUE,TRUE
kit_v1nc,TRUE,TRUE,TRUE,FALSE
krt5_v1nc,TRUE,TRUE,TRUE,TRUE
ku7080_c_v1nc,TRUE,FALSE,FALSE,FALSE
mdm2_v1nc,TRUE,FALSE,FALSE,FALSE
nestin_v1nc,TRUE,TRUE,TRUE,TRUE
p16_c1v1nc,TRUE,TRUE,TRUE,TRUE
p27_v1nc,TRUE,TRUE,TRUE,FALSE
p53_c_v1.1.1.pnnc,TRUE,TRUE,TRUE,TRUE
pcad_v1.1.ppnc,TRUE,TRUE,TRUE,TRUE
pgp_v1nc,TRUE,TRUE,TRUE,TRUE
pipki_v1nc,TRUE,FALSE,FALSE,FALSE
plau_c1v1,TRUE,TRUE,TRUE,TRUE
podxl_v1nc,TRUE,TRUE,TRUE,TRUE
pr_v3nc,TRUE,TRUE,TRUE,TRUE
psf_c_v1nc,TRUE,FALSE,FALSE,FALSE
pten_v1nc,TRUE,TRUE,TRUE,FALSE
ret_v1nc,TRUE,TRUE,FALSE,FALSE
skp2_v1nc,TRUE,TRUE,TRUE,TRUE
trim29_v1nc,TRUE,TRUE,TRUE,TRUE
yb1_v1.2nc,TRUE,TRUE,TRUE,TRUE
