genes,0.05,0.01,0.001,0.0001
bcl2_pp_v1n,TRUE,TRUE,TRUE,TRUE
birc5_pp_v1n,TRUE,TRUE,TRUE,TRUE
cd163_c_v1n,TRUE,TRUE,TRUE,TRUE
ck56_c2v1n,TRUE,TRUE,TRUE,TRUE
ck5_c2v1n,TRUE,TRUE,TRUE,TRUE
ckit_c_v1n,TRUE,TRUE,TRUE,TRUE
cyclind1_pp_v1n,TRUE,TRUE,TRUE,TRUE
ecad_pp_v1n,TRUE,TRUE,TRUE,TRUE
egfr_tsipp_v1n,TRUE,TRUE,TRUE,TRUE
er_pp_v1n,TRUE,TRUE,TRUE,TRUE
er_dcc_v1n,TRUE,TRUE,TRUE,TRUE
ezh2_pp_v1n,TRUE,TRUE,TRUE,TRUE
foxa1_pp_v1n,TRUE,TRUE,TRUE,TRUE
h3k27me3_pp_v1n,TRUE,TRUE,TRUE,FALSE
her2_v1n,TRUE,TRUE,TRUE,TRUE
inpp4b_c_v1.ppn,TRUE,TRUE,TRUE,TRUE
ki67_pp_v1n,TRUE,TRUE,TRUE,TRUE
nestin_tsipp_v1n,TRUE,TRUE,TRUE,TRUE
p16_qsipp_v1n,TRUE,TRUE,TRUE,TRUE
pr_c_v1n,TRUE,TRUE,TRUE,TRUE
tp53_pp_v1n,TRUE,TRUE,TRUE,TRUE
