hgnc_symbol	ensembl_gene_id	entrezgene	chromosome_name	start_position	end_position
1	RNF223	ENSG00000237330	401934	1	1006346	1009687
2	PUSL1	ENSG00000169972	126789	1	1243947	1247057
3	NA	ENSG00000225285	NA	1	1365919	1369953
4	SLC35E2	ENSG00000215790	728661	1	1656277	1677431
5	SLC35E2	ENSG00000215790	9906	1	1656277	1677431
6	SLC35E2	ENSG00000215790	728661	1	1656277	1677431
7	SLC35E2	ENSG00000215790	9906	1	1656277	1677431
8	GNB1	ENSG00000078369	2782	1	1716729	1822495
9	C1orf222	ENSG00000142609	85452	1	1853396	1935276
10	SKI	ENSG00000157933	6497	1	2160134	2241558
11	SKI	ENSG00000157933	6497	1	2160134	2241558
12	RER1	ENSG00000157916	11079	1	2323267	2336883
13	PRDM16	ENSG00000142611	63976	1	2985732	3355185
14	PRDM16	ENSG00000142611	63976	1	2985732	3355185
15	PRDM16	ENSG00000142611	63976	1	2985732	3355185
16	PRDM16	ENSG00000142611	63976	1	2985732	3355185
17	WRAP73	ENSG00000116213	49856	1	3547331	3569325
18	TP73-AS1	ENSG00000227372	57212	1	3652548	3663900
19	CEP104	ENSG00000116198	9731	1	3728645	3773778
20	CHD5	ENSG00000116254	101928723	1	6161853	6240183
21	CHD5	ENSG00000116254	26038	1	6161853	6240183
22	PLEKHG5	ENSG00000171680	57449	1	6526152	6580121
23	KLHL21	ENSG00000162413	9903	1	6650784	6674667
24	CAMTA1	ENSG00000171735	23261	1	6845384	7829766
25	CAMTA1	ENSG00000171735	23261	1	6845384	7829766
26	CAMTA1	ENSG00000171735	23261	1	6845384	7829766
27	CAMTA1	ENSG00000171735	23261	1	6845384	7829766
28	CAMTA1	ENSG00000171735	23261	1	6845384	7829766
29	ERRFI1	ENSG00000116285	54206	1	8064464	8086368
30	SLC45A1	ENSG00000162426	50651	1	8377886	8404227
31	NMNAT1	ENSG00000173614	64802	1	10003486	10045559
32	PEX14	ENSG00000142655	5195	1	10532345	10690815
33	CASZ1	ENSG00000130940	54897	1	10696661	10856707
34	CASZ1	ENSG00000130940	54897	1	10696661	10856707
35	UBIAD1	ENSG00000120942	29914	1	11333263	11356106
36	TNFRSF1B	ENSG00000028137	7133	1	12227060	12269285
37	VPS13D	ENSG00000048707	55187	1	12290124	12572099
38	VPS13D	ENSG00000048707	55187	1	12290124	12572099
39	DHRS3	ENSG00000162496	9249	1	12627939	12677737
40	KAZN	ENSG00000189337	23254	1	14925200	15444539
41	KAZN	ENSG00000189337	23254	1	14925200	15444539
42	KAZN	ENSG00000189337	23254	1	14925200	15444539
43	KAZN	ENSG00000189337	23254	1	14925200	15444539
44	FHAD1	ENSG00000142621	114827	1	15573768	15726779
45	CELA2B	ENSG00000215704	51032	1	15792404	15817895
46	DNAJC16	ENSG00000116138	23341	1	15853308	15918874
47	NA	ENSG00000237938	NA	1	16049214	16063391
48	CROCC	ENSG00000058453	9696	1	17066768	17299474
49	ARHGEF10L	ENSG00000074964	55160	1	17866330	18024369
50	ARHGEF10L	ENSG00000074964	55160	1	17866330	18024369
