"","X","Hugo_Symbol","Entrez_Gene_Id","Entrez_Gene_ID_0","RefSeq_ID_0","Accession_0","Gene_symbol","SNP","CHR","BP","TCGAsymbolEQMETABRICsymbol","refseqID","MatchingIlluminaProbeId"
"1",2,"HMGB1P1",10357,10357,"NM_001008735.1","NM_001008735.1","HMGB1L1",10357,20,55497081,FALSE,"NM_001008735","ILMN_1809439"
"2",3,"LOC155060",155060,155060,"NM_001004302.1","NM_001004302.1","BC131569",155060,7,148623121,FALSE,"NM_001004302","ILMN_1688435"
"3",4,"RNU12-2P",26823,26823,"NR_000041.1","NR_000041.1","RNU12",26823,23,46877126,FALSE,"NR_000041","ILMN_1768139"
"4",5,"SSX9",280660,280660,"NM_174962.3","NM_174962.3","SSX9",280660,23,48044077,TRUE,"NM_174962","ILMN_1771397"
"5",6,"CXORF67",340602,340602,"NM_203407.1","NM_203407.1","CXorf67",340602,23,51168051,FALSE,"NM_203407","ILMN_1815931"
"6",8,"SRP14P1",390284,390284,"NR_003273.1","NR_003273.1","SRP14P1",390284,12,6418007,TRUE,"NR_003273","ILMN_2211950"
"7",10,"TRIM75P",391714,391714,"XM_939332.1","XM_939332.1","TRIM75",391714,4,166200893,FALSE,"XM_939332","ILMN_1799698"
"8",12,"REXO1L6P",441362,441362,"XM_496984.2","XM_496984.2","REXO1L1",441362,8,86758252,FALSE,"XM_496984","ILMN_1779713"
"9",13,"SDR16C6P",442388,442388,"XM_937916.1","XM_937916.1","",442388,8,57449935,FALSE,"XM_937916","ILMN_1660985"
"10",18,"GTPBP6",8225,8225,"NM_012227.1","NM_012227.1","GTPBP6",8225,23,161480,TRUE,"NM_012227","ILMN_1776080"
"11",19,"EFCAB12",90288,90288,"NM_207307.1","NM_207307.1","C3orf25",90288,3,130603053,FALSE,"NM_207307","ILMN_1795514"
"12",20,"A1BG",1,1,"NM_130786.2","NM_130786.2","A1BG",1,19,63549205,TRUE,"NM_130786","ILMN_2055271"
"13",21,"A1CF",29974,29974,"NM_138932.1","NM_138932.1","A1CF",29974,10,52236617,TRUE,"NM_138932","ILMN_1779670"
"14",22,"RBFOX1",54715,54715,"NM_018723.2","NM_018723.2","A2BP1",54715,16,6009916,FALSE,"NM_018723","ILMN_1787689"
"15",24,"A2ML1",144568,144568,"NM_144670.2","NM_144670.2","A2ML1",144568,12,8920436,TRUE,"NM_144670","ILMN_2136495"
"16",25,"A2M",2,2,"NM_000014.4","NM_000014.4","A2M",2,12,9111675,TRUE,"NM_000014","ILMN_1745607"
"17",26,"A4GALT",53947,53947,"NM_017436.4","NM_017436.4","A4GALT",53947,22,41418145,TRUE,"NM_017436","ILMN_1735045"
"18",27,"A4GNT",51146,51146,"NM_016161.1","NM_016161.1","A4GNT",51146,3,139325921,TRUE,"NM_016161","ILMN_1680754"
"19",28,"NPSR1-AS1",404744,404744,"NM_207284.1","NM_207284.1","AAA1",404744,7,34734917,FALSE,"NM_207284","ILMN_1659452"
"20",29,"AAAS",8086,8086,"NM_015665.4","NM_015665.4","AAAS",8086,12,51987619,TRUE,"NM_015665","ILMN_1755321"
"21",31,"AACS",65985,65985,"NM_023928.3","NM_023928.3","AACS",65985,12,124193561,TRUE,"NM_023928","ILMN_1698554"
"22",32,"AADACL2",344752,344752,"NM_207365.2","NM_207365.2","AADACL2",344752,3,152957817,TRUE,"NM_207365","ILMN_1752884"
"23",33,"AADACL3",126767,126767,"XM_938346.2","XM_938346.2","AADACL3",126767,1,12702090,TRUE,"XM_938346","ILMN_1812867"
"24",34,"AADACL4",343066,343066,"NM_001013630.1","NM_001013630.1","AADACL4",343066,1,12649372,TRUE,"NM_001013630","ILMN_1668851"
"25",35,"AADAC",13,13,"NM_001086.2","NM_001086.2","AADAC",13,3,153028407,TRUE,"NM_001086","ILMN_1760414"
"26",36,"AADAT",51166,51166,"NM_182662.1","NM_182662.1","AADAT",51166,4,171218312,TRUE,"NM_182662","ILMN_1726986"
"27",38,"AAK1",22848,22848,"NM_014911.2","NM_014911.2","AAK1",22848,2,69563252,TRUE,"NM_014911","ILMN_1688755"
"28",39,"AAMP",14,14,"NM_001087.3","NM_001087.3","AAMP",14,2,218837381,TRUE,"NM_001087","ILMN_1653165"
"29",40,"AANAT",15,15,"NM_001088.1","NM_001088.1","AANAT",15,17,71977518,TRUE,"NM_001088","ILMN_1729835"
"30",41,"AARS2",57505,57505,"NM_020745.2","NM_020745.2","AARS2",57505,6,44375497,TRUE,"NM_020745","ILMN_1674698"
"31",42,"AARSD1",80755,80755,"NM_025267.2","NM_025267.2","AARSD1",80755,17,38357394,TRUE,"NM_025267","ILMN_1700461"
"32",43,"AARS",16,16,"NM_001605.2","NM_001605.2","AARS",16,16,68843854,TRUE,"NM_001605","ILMN_1662364"
"33",44,"AASDHPPT",60496,60496,"NM_015423.2","NM_015423.2","AASDHPPT",60496,11,105474188,TRUE,"NM_015423","ILMN_2096191"
"34",45,"AASDH",132949,132949,"NM_181806.2","NM_181806.2","AASDH",132949,4,56899485,TRUE,"NM_181806","ILMN_1784269"
"35",46,"AASS",10157,10157,"NM_005763.2","NM_005763.2","AASS",10157,7,121503855,TRUE,"NM_005763","ILMN_2157219"
"36",47,"AATF",26574,26574,"NM_012138.3","NM_012138.3","AATF",26574,17,32488042,TRUE,"NM_012138","ILMN_1703743"
"37",48,"AATK",9625,9625,"NM_001080395.1","NM_001080395.1","AATK",9625,17,76705998,TRUE,"NM_001080395","ILMN_1687609"
"38",49,"ABAT",18,18,"NM_020686.4","NM_020686.4","ABAT",18,16,8676003,TRUE,"NM_020686","ILMN_1805104"
"39",50,"ABCA10",10349,10349,"NM_080282.3","NM_080282.3","ABCA10",10349,17,64690438,TRUE,"NM_080282","ILMN_1753388"
"40",51,"ABCA11P",79963,79963,"NR_002451.1","NR_002451.1","ZNF721",79963,4,409730,FALSE,"NR_002451","ILMN_2232084"
"41",52,"ABCA12",26154,26154,"NM_015657.3","NM_015657.3","ABCA12",26154,2,215504971,TRUE,"NM_015657","ILMN_2361400"
"42",53,"ABCA13",154664,154664,"NM_152701.2","NM_152701.2","ABCA13",154664,7,48657269,TRUE,"NM_152701","ILMN_1704579"
"43",55,"ABCA1",19,19,"NM_005502.2","NM_005502.2","ABCA1",19,9,106583346,TRUE,"NM_005502","ILMN_1766054"
"44",56,"ABCA2",20,20,"NM_212533.2","NM_212533.2","ABCA2",20,9,139043167,TRUE,"NM_212533","ILMN_1747627"
"45",57,"ABCA3",21,21,"NM_001089.1","NM_001089.1","ABCA3",21,16,2265937,TRUE,"NM_001089","ILMN_1758523"
"46",58,"ABCA4",24,24,"NM_000350.2","NM_000350.2","ABCA4",24,1,94231093,TRUE,"NM_000350","ILMN_1794965"
"47",59,"ABCA5",23461,23461,"NM_018672.2","NM_018672.2","ABCA5",23461,17,64822430,TRUE,"NM_018672","ILMN_1722286"
"48",60,"ABCA6",23460,23460,"NM_080284.2","NM_080284.2","ABCA6",23460,17,64588839,TRUE,"NM_080284","ILMN_1701551"
"49",61,"ABCA7",10347,10347,"NM_019112.3","NM_019112.3","ABCA7",10347,19,1016148,TRUE,"NM_019112","ILMN_1743205"
"50",62,"ABCA8",10351,10351,"NM_007168.2","NM_007168.2","ABCA8",10351,17,64375095,TRUE,"NM_007168","ILMN_1796801"
"51",63,"ABCA9",10350,10350,"NM_080283.3","NM_080283.3","ABCA9",10350,17,64492690,TRUE,"NM_080283","ILMN_1720501"
"52",64,"ABCB10",23456,23456,"NM_012089.1","NM_012089.1","ABCB10",23456,1,227719399,TRUE,"NM_012089","ILMN_1665730"
"53",65,"ABCB11",8647,8647,"NM_003742.2","NM_003742.2","ABCB11",8647,2,169488092,TRUE,"NM_003742","ILMN_2232066"
"54",66,"ABCB1",5243,5243,"NM_000927.3","NM_000927.3","ABCB1",5243,7,86970926,TRUE,"NM_000927","ILMN_1812070"
"55",67,"ABCB4",5244,5244,"NM_018850.2","NM_018850.2","ABCB4",5244,7,86870433,TRUE,"NM_018850","ILMN_1767349"
"56",68,"ABCB5",340273,340273,"NM_178559.3","NM_178559.3","ABCB5",340273,7,20751438,TRUE,"NM_178559","ILMN_1658257"
"57",69,"ABCB6",10058,10058,"NM_005689.1","NM_005689.1","ABCB6",10058,2,219782869,TRUE,"NM_005689","ILMN_2193980"
"58",70,"ABCB7",22,22,"NM_004299.3","NM_004299.3","ABCB7",22,23,74190052,TRUE,"NM_004299","ILMN_1687840"
"59",71,"ABCB8",11194,11194,"NM_007188.2","NM_007188.2","ABCB8",11194,7,150370073,TRUE,"NM_007188","ILMN_2102422"
"60",72,"ABCB9",23457,23457,"NM_203444.1","NM_203444.1","ABCB9",23457,12,122025312,TRUE,"NM_203444","ILMN_2343047"
"61",73,"ABCC10",89845,89845,"NM_033450.2","NM_033450.2","ABCC10",89845,6,43525891,TRUE,"NM_033450","ILMN_1776119"
"62",74,"ABCC11",85320,85320,"NM_033151.3","NM_033151.3","ABCC11",85320,16,46823412,TRUE,"NM_033151","ILMN_1713008"
"63",75,"ABCC12",94160,94160,"NM_033226.2","NM_033226.2","ABCC12",94160,16,46674841,TRUE,"NM_033226","ILMN_1762093"
"64",76,"ABCC13",150000,150000,"NM_172024.1","NM_172024.1","ABCC13",150000,21,14594076,TRUE,"NM_172024","ILMN_1774344"
"65",77,"ABCC1",4363,4363,"NM_019901.1","NM_019901.1","ABCC1",4363,16,16142848,TRUE,"NM_019901","ILMN_1802404"
"66",78,"ABCC2",1244,1244,"NM_000392.1","NM_000392.1","ABCC2",1244,10,101601309,TRUE,"NM_000392","ILMN_1676278"
"67",79,"ABCC3",8714,8714,"NM_020038.1","NM_020038.1","ABCC3",8714,17,46091568,TRUE,"NM_020038","ILMN_1677814"
"68",80,"ABCC4",10257,10257,"NM_005845.2","NM_005845.2","ABCC4",10257,13,94470394,TRUE,"NM_005845","ILMN_1788457"
"69",81,"ABCC5",10057,10057,"NM_005688.2","NM_005688.2","ABCC5",10057,3,185120590,TRUE,"NM_005688","ILMN_1706531"
"70",84,"ABCC6",368,368,"NM_001079528.1","NM_001079528.1","ABCC6",368,16,16223030,TRUE,"NM_001079528","ILMN_2406654"
"71",85,"ABCC8",6833,6833,"NM_000352.3","NM_000352.3","ABCC8",6833,11,17371109,TRUE,"NM_000352","ILMN_1767129"
"72",86,"ABCC9",10060,10060,"NM_020298.2","NM_020298.2","ABCC9",10060,12,21854059,TRUE,"NM_020298","ILMN_2366473"
"73",87,"ABCD1",215,215,"NM_000033.2","NM_000033.2","ABCD1",215,23,152663055,TRUE,"NM_000033","ILMN_1772189"
"74",88,"ABCD2",225,225,"NM_005164.2","NM_005164.2","ABCD2",225,12,38232928,TRUE,"NM_005164","ILMN_1652959"
"75",89,"ABCD3",5825,5825,"NM_002858.2","NM_002858.2","ABCD3",5825,1,94755964,TRUE,"NM_002858","ILMN_1674032"
"76",90,"ABCD4",5826,5826,"NR_003256.1","NR_003256.1","PMP69",5826,14,73822248,FALSE,"NR_003256","ILMN_1651501"
"77",91,"ABCE1",6059,6059,"NM_001040876.1","NM_001040876.1","ABCE1",6059,4,146269273,TRUE,"NM_001040876","ILMN_1676846"
"78",92,"ABCF1",23,23,"NM_001025091.1","NM_001025091.1","ABCF1",23,6,30666972,TRUE,"NM_001025091","ILMN_2392635"
"79",93,"ABCF2",10061,10061,"NM_007189.1","NM_007189.1","ABCF2",10061,7,150540776,TRUE,"NM_007189","ILMN_1781999"
"80",94,"ABCF3",55324,55324,"NM_018358.2","NM_018358.2","ABCF3",55324,3,185394191,TRUE,"NM_018358","ILMN_1810085"
"81",95,"ABCG1",9619,9619,"NM_016818.2","NM_016818.2","ABCG1",9619,21,42589702,TRUE,"NM_016818","ILMN_2329927"
"82",96,"ABCG2",9429,9429,"NM_004827.2","NM_004827.2","ABCG2",9429,4,89230798,TRUE,"NM_004827","ILMN_1789641"
"83",97,"ABCG4",64137,64137,"NM_022169.3","NM_022169.3","ABCG4",64137,11,118538487,TRUE,"NM_022169","ILMN_1779470"
"84",98,"ABCG5",64240,64240,"NM_022436.2","NM_022436.2","ABCG5",64240,2,43893257,TRUE,"NM_022436","ILMN_1716592"
"85",99,"ABCG8",64241,64241,"NM_022437.2","NM_022437.2","ABCG8",64241,2,43958780,TRUE,"NM_022437","ILMN_1680309"
"86",100,"ABHD10",55347,55347,"NM_018394.1","NM_018394.1","ABHD10",55347,3,113194660,TRUE,"NM_018394","ILMN_1770031"
"87",101,"ABHD11",83451,83451,"NM_148916.2","NM_148916.2","ABHD11",83451,7,72790654,TRUE,"NM_148916","ILMN_1737475"
